edge_id,node1_id,node2_id,distance,type
1,868,1605,0.0,spatial
2,981,1679,0.0,spatial
3,401,1634,0.0,spatial
4,657,1470,0.0,spatial
5,610,629,0.0,spatial
6,1442,1711,0.0,spatial
7,558,584,0.0,spatial
8,1666,1711,0.0,spatial
9,957,981,0.0,spatial
10,547,1683,0.0,spatial
11,798,809,0.0,spatial
12,432,917,0.0,spatial
13,431,1148,0.0,spatial
14,728,1775,0.0,spatial
15,1000,1001,0.0,spatial
16,888,1154,0.0,spatial
17,773,1275,0.0,spatial
18,735,1150,0.0,spatial
19,676,1492,0.0,spatial
20,445,1068,0.0,spatial
21,897,1155,0.0,spatial
22,1394,1395,0.0,spatial
23,616,1224,0.0,spatial
24,681,690,0.0,spatial
25,1555,1806,0.0,spatial
26,658,1093,0.0,spatial
27,612,631,0.0,spatial
28,689,1374,0.0,spatial
29,580,599,0.0,spatial
30,587,1203,0.0,spatial
31,616,1216,0.0,spatial
32,285,1647,0.0,spatial
33,885,1339,0.0,spatial
34,567,576,0.0,spatial
35,658,1472,0.0,spatial
36,665,678,0.0,spatial
37,1459,1668,0.0,spatial
38,576,595,0.0,spatial
39,1531,1787,0.0,spatial
40,716,1246,0.0,spatial
41,881,896,0.0,spatial
42,1554,1803,0.0,spatial
43,619,1452,0.0,spatial
44,790,1552,0.0,spatial
45,569,1435,0.0,spatial
46,323,327,0.0,spatial
47,786,1557,0.0,spatial
48,638,1668,0.0,spatial
49,806,1302,0.0,spatial
50,638,1473,0.0,spatial
51,761,1550,0.0,spatial
52,547,1145,0.0,spatial
53,632,1462,0.0,spatial
54,443,1651,0.0,spatial
55,1611,1852,0.0,spatial
56,426,981,0.0,spatial
57,450,1433,0.0,spatial
58,1156,1789,0.0,spatial
59,917,1086,0.0,spatial
60,1407,1477,0.0,spatial
61,623,636,0.0,spatial
62,867,868,0.0,spatial
63,1179,1413,0.0,spatial
64,814,1152,0.0,spatial
65,702,721,0.0,spatial
66,575,1190,0.0,spatial
67,584,602,0.0,spatial
68,1157,1867,0.0,spatial
69,753,1791,0.0,spatial
70,1256,1525,0.0,spatial
71,1338,1620,0.0,spatial
72,646,1489,0.0,spatial
73,1290,1554,0.0,spatial
74,639,1235,0.0,spatial
75,757,1408,0.0,spatial
76,653,1407,0.0,spatial
77,817,1577,0.0,spatial
78,263,267,0.0,spatial
79,674,1109,0.0,spatial
80,245,439,0.0,spatial
81,1152,1840,0.0,spatial
82,688,1499,0.0,spatial
83,617,1464,0.0,spatial
84,828,1587,0.0,spatial
85,737,1536,0.0,spatial
86,443,981,0.0,spatial
87,825,840,0.0,spatial
88,657,676,0.0,spatial
89,635,1407,0.0,spatial
90,467,1397,0.0,spatial
91,613,632,0.0,spatial
92,571,1194,0.0,spatial
93,968,1074,0.0,spatial
94,596,598,0.0,spatial
95,665,1160,0.0,spatial
96,620,1466,0.0,spatial
97,710,1507,0.0,spatial
98,1637,1871,0.0,spatial
99,580,584,0.0,spatial
100,1055,1081,0.0,spatial
101,560,1413,0.0,spatial
102,880,881,0.0,spatial
103,1149,1753,0.0,spatial
104,478,1087,0.0,spatial
105,597,1210,0.0,spatial
106,732,1789,0.0,spatial
107,243,953,0.0,spatial
108,856,1606,0.0,spatial
109,583,600,0.0,spatial
110,631,1234,0.0,spatial
111,847,1596,0.0,spatial
112,785,1158,0.0,spatial
113,1661,1875,0.0,spatial
114,601,616,0.0,spatial
115,675,1498,0.0,spatial
116,680,696,0.0,spatial
117,1536,1788,0.0,spatial
118,446,1406,0.0,spatial
119,1154,1857,0.0,spatial
120,465,1166,0.0,spatial
121,749,1533,0.0,spatial
122,720,1531,0.0,spatial
123,1064,1654,0.0,spatial
124,595,1163,0.0,spatial
125,710,731,0.0,spatial
126,1281,1551,0.0,spatial
127,552,1180,0.0,spatial
128,962,1001,0.0,spatial
129,570,1161,0.0,spatial
130,1428,1665,0.0,spatial
131,639,1229,0.0,spatial
132,405,952,0.0,spatial
133,820,1315,0.0,spatial
134,580,1709,0.0,spatial
135,758,1146,0.0,spatial
136,799,1304,0.0,spatial
137,893,1155,0.0,spatial
138,634,653,0.0,spatial
139,1599,1881,0.0,spatial
140,616,1461,0.0,spatial
141,1495,1755,0.0,spatial
142,1150,1517,0.0,spatial
143,678,697,0.0,spatial
144,670,1103,0.0,spatial
145,630,645,0.0,spatial
146,1507,1508,0.0,spatial
147,352,354,0.0,spatial
148,668,1754,0.0,spatial
149,705,1517,0.0,spatial
150,553,1425,0.0,spatial
151,327,1072,0.0,spatial
152,505,1433,0.0,spatial
153,457,477,0.0,spatial
154,912,1361,0.0,spatial
155,874,900,0.0,spatial
156,795,1151,0.0,spatial
157,953,997,0.0,spatial
158,980,1143,0.0,spatial
159,346,1160,0.0,spatial
160,786,787,0.0,spatial
161,1228,1668,0.0,spatial
162,834,1590,0.0,spatial
163,1636,1878,0.0,spatial
164,609,1218,0.0,spatial
165,452,467,0.0,spatial
166,635,1233,0.0,spatial
167,560,578,0.0,spatial
168,573,1694,0.0,spatial
169,708,1507,0.0,spatial
170,981,1040,0.0,spatial
171,658,1475,0.0,spatial
172,575,1665,0.0,spatial
173,763,764,0.0,spatial
174,866,1405,0.0,spatial
175,545,1145,0.0,spatial
176,1235,1463,0.0,spatial
177,472,506,0.0,spatial
178,728,748,0.0,spatial
179,723,1535,0.0,spatial
180,799,1583,0.0,spatial
181,958,1064,0.0,spatial
182,246,1417,0.0,spatial
183,1309,1583,0.0,spatial
184,829,848,0.0,spatial
185,743,1794,0.0,spatial
186,977,1085,0.0,spatial
187,768,1279,0.0,spatial
188,865,1612,0.0,spatial
189,905,1632,0.0,spatial
190,666,1108,0.0,spatial
191,279,297,0.0,spatial
192,1150,1780,0.0,spatial
193,785,1293,0.0,spatial
194,613,616,0.0,spatial
195,1167,1466,0.0,spatial
196,815,842,0.0,spatial
197,1423,1700,0.0,spatial
198,1306,1566,0.0,spatial
199,763,1542,0.0,spatial
200,873,1157,0.0,spatial
201,319,320,0.0,spatial
202,870,900,0.0,spatial
203,898,1626,0.0,spatial
204,692,1767,0.0,spatial
205,655,1147,0.0,spatial
206,704,723,0.0,spatial
207,719,1150,0.0,spatial
208,979,1085,0.0,spatial
209,1413,1414,0.0,spatial
210,655,1491,0.0,spatial
211,927,928,0.0,spatial
212,671,682,0.0,spatial
213,905,1157,0.0,spatial
214,419,453,0.0,spatial
215,1163,1712,0.0,spatial
216,903,1624,0.0,spatial
217,878,1614,0.0,spatial
218,843,1134,0.0,spatial
219,1449,1451,0.0,spatial
220,456,1457,0.0,spatial
221,730,738,0.0,spatial
222,554,577,0.0,spatial
223,459,460,0.0,spatial
224,659,678,0.0,spatial
225,554,1183,0.0,spatial
226,628,1477,0.0,spatial
227,604,1666,0.0,spatial
228,707,1150,0.0,spatial
229,773,1550,0.0,spatial
230,254,1577,0.0,spatial
231,572,1163,0.0,spatial
232,771,1541,0.0,spatial
233,742,1127,0.0,spatial
234,865,867,0.0,spatial
235,568,578,0.0,spatial
236,356,359,0.0,spatial
237,247,1055,0.0,spatial
238,719,1260,0.0,spatial
239,601,1203,0.0,spatial
240,712,1523,0.0,spatial
241,884,896,0.0,spatial
242,1603,1843,0.0,spatial
243,763,1793,0.0,spatial
244,1651,1676,0.0,spatial
245,650,673,0.0,spatial
246,1043,1045,0.0,spatial
247,1130,1302,0.0,spatial
248,1275,1549,0.0,spatial
249,583,603,0.0,spatial
250,804,1580,0.0,spatial
251,245,544,0.0,spatial
252,549,1181,0.0,spatial
253,617,636,0.0,spatial
254,709,729,0.0,spatial
255,928,1515,0.0,spatial
256,723,1256,0.0,spatial
257,675,1501,0.0,spatial
258,1537,1792,0.0,spatial
259,591,1667,0.0,spatial
260,824,1579,0.0,spatial
261,789,1288,0.0,spatial
262,1668,1730,0.0,spatial
263,1617,1857,0.0,spatial
264,800,809,0.0,spatial
265,766,1280,0.0,spatial
266,555,1665,0.0,spatial
267,590,1449,0.0,spatial
268,923,1638,0.0,spatial
269,426,1061,0.0,spatial
270,843,1592,0.0,spatial
271,731,737,0.0,spatial
272,1333,1599,0.0,spatial
273,748,1272,0.0,spatial
274,608,621,0.0,spatial
275,649,1489,0.0,spatial
276,899,1155,0.0,spatial
277,1356,1624,0.0,spatial
