edge_id,node1_id,node2_id,distance,type
1,838,2236,0.0,spatial
2,654,1269,0.0,spatial
3,410,413,0.0,spatial
4,1770,1934,0.0,spatial
5,780,1730,0.0,spatial
6,1809,1832,0.0,spatial
7,1550,1769,0.0,spatial
8,676,1557,0.0,spatial
9,884,2347,0.0,spatial
10,140,1769,0.0,spatial
11,1729,2203,0.0,spatial
12,107,112,0.0,spatial
13,406,1699,0.0,spatial
14,563,1815,0.0,spatial
15,1784,2129,0.0,spatial
16,1335,1336,0.0,spatial
17,343,1688,0.0,spatial
18,148,770,0.0,spatial
19,1545,2297,0.0,spatial
20,133,1722,0.0,spatial
21,931,1838,0.0,spatial
22,1295,1556,0.0,spatial
23,653,1230,0.0,spatial
24,686,1771,0.0,spatial
25,1515,2017,0.0,spatial
26,1220,1901,0.0,spatial
27,1360,1756,0.0,spatial
28,351,356,0.0,spatial
29,1798,1810,0.0,spatial
30,654,1230,0.0,spatial
31,1402,1793,0.0,spatial
32,1660,1997,0.0,spatial
33,1206,1725,0.0,spatial
34,851,860,0.0,spatial
35,446,1737,0.0,spatial
36,492,1136,0.0,spatial
37,1240,1721,0.0,spatial
38,1844,1995,0.0,spatial
39,886,1602,0.0,spatial
40,1230,1360,0.0,spatial
41,1820,2361,0.0,spatial
42,628,1724,0.0,spatial
43,782,2209,0.0,spatial
44,1136,1750,0.0,spatial
45,1722,2187,0.0,spatial
46,818,1692,0.0,spatial
47,112,1205,0.0,spatial
48,498,2405,0.0,spatial
49,1696,2238,0.0,spatial
50,320,1680,0.0,spatial
51,188,1256,0.0,spatial
52,1211,2361,0.0,spatial
53,1366,1755,0.0,spatial
54,430,446,0.0,spatial
55,588,2051,0.0,spatial
56,953,1305,0.0,spatial
57,43,615,0.0,spatial
58,172,1728,0.0,spatial
59,61,346,0.0,spatial
60,397,2342,0.0,spatial
61,717,1818,0.0,spatial
62,100,1514,0.0,spatial
63,675,1792,0.0,spatial
64,1557,2110,0.0,spatial
65,855,1243,0.0,spatial
66,112,1750,0.0,spatial
67,1209,1800,0.0,spatial
68,871,1795,0.0,spatial
69,356,854,0.0,spatial
70,736,1264,0.0,spatial
71,84,1816,0.0,spatial
72,166,788,0.0,spatial
73,832,1264,0.0,spatial
74,184,1816,0.0,spatial
75,1006,1241,0.0,spatial
76,1838,2275,0.0,spatial
77,194,1212,0.0,spatial
78,1680,1754,0.0,spatial
79,911,1248,0.0,spatial
80,816,1205,0.0,spatial
81,376,839,0.0,spatial
82,434,1237,0.0,spatial
83,929,1253,0.0,spatial
84,1753,1766,0.0,spatial
85,1394,2248,0.0,spatial
86,159,1976,0.0,spatial
87,1030,1645,0.0,spatial
88,1834,1856,0.0,spatial
89,495,1240,0.0,spatial
90,1734,1976,0.0,spatial
91,1028,1242,0.0,spatial
92,848,1694,0.0,spatial
93,476,1738,0.0,spatial
94,991,1421,0.0,spatial
95,1418,1845,0.0,spatial
96,901,1039,0.0,spatial
97,379,1723,0.0,spatial
98,33,670,0.0,spatial
99,34,1280,0.0,spatial
100,1610,1815,0.0,spatial
101,51,1833,0.0,spatial
102,1789,1793,0.0,spatial
103,854,1243,0.0,spatial
104,888,1210,0.0,spatial
105,679,1680,0.0,spatial
106,104,1234,0.0,spatial
107,162,1222,0.0,spatial
108,322,1206,0.0,spatial
109,30,1761,0.0,spatial
110,909,2147,0.0,spatial
111,752,779,0.0,spatial
112,465,1120,0.0,spatial
113,1569,1796,0.0,spatial
114,1687,1803,0.0,spatial
115,876,1873,0.0,spatial
116,1810,2042,0.0,spatial
117,542,1819,0.0,spatial
118,1513,1719,0.0,spatial
119,880,881,0.0,spatial
120,1681,2172,0.0,spatial
121,300,1765,0.0,spatial
122,726,1728,0.0,spatial
123,766,1722,0.0,spatial
124,891,1763,0.0,spatial
125,766,1219,0.0,spatial
126,896,1295,0.0,spatial
127,1030,1295,0.0,spatial
128,188,198,0.0,spatial
129,477,1136,0.0,spatial
130,69,1801,0.0,spatial
131,1815,2146,0.0,spatial
132,1688,1734,0.0,spatial
133,1279,1771,0.0,spatial
134,880,1402,0.0,spatial
135,64,1559,0.0,spatial
136,335,1795,0.0,spatial
137,1775,1833,0.0,spatial
138,32,1378,0.0,spatial
139,604,2268,0.0,spatial
140,1680,2160,0.0,spatial
141,1050,2358,0.0,spatial
142,509,1205,0.0,spatial
143,32,2105,0.0,spatial
144,787,792,0.0,spatial
145,1783,1794,0.0,spatial
146,107,1515,0.0,spatial
147,19,1973,0.0,spatial
148,1264,2244,0.0,spatial
149,507,1842,0.0,spatial
150,1799,2045,0.0,spatial
151,1088,1204,0.0,spatial
152,775,2199,0.0,spatial
153,1232,2205,0.0,spatial
154,1727,1907,0.0,spatial
155,978,1697,0.0,spatial
156,1737,2002,0.0,spatial
157,1754,2170,0.0,spatial
158,9,1738,0.0,spatial
159,679,1365,0.0,spatial
160,62,1574,0.0,spatial
161,295,1949,0.0,spatial
162,1094,1701,0.0,spatial
163,554,1211,0.0,spatial
164,547,1817,0.0,spatial
165,1801,1937,0.0,spatial
166,167,181,0.0,spatial
167,149,1775,0.0,spatial
168,803,1771,0.0,spatial
169,762,2179,0.0,spatial
170,733,1207,0.0,spatial
171,595,2052,0.0,spatial
172,67,1799,0.0,spatial
173,590,704,0.0,spatial
174,1296,1781,0.0,spatial
175,303,1956,0.0,spatial
176,1209,2098,0.0,spatial
177,206,207,0.0,spatial
178,78,1256,0.0,spatial
179,617,1295,0.0,spatial
180,77,1832,0.0,spatial
181,1706,2378,0.0,spatial
182,465,981,0.0,spatial
183,785,1732,0.0,spatial
184,1047,1819,0.0,spatial
185,68,1805,0.0,spatial
186,1681,2171,0.0,spatial
187,1711,1842,0.0,spatial
