node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
2053,Wall,FFE2AEB7-EC5D-E544-8D18-1569D5D7071A,0.02,0.02,2.60,MUR - 019,0,8.9,13.03,0.04,8.92,13.05,2.64,,,,,,,,,
2054,Wall,50C5E86F-5F23-F847-B0CA-A856FF6A8757,3.18,0.10,3.37,MURO-D01,1,8.76,7.48,0.0,8.86,10.66,3.37,7C478C51-7E78-EC49-BB54-700615E8BF91,,,,,,,,
2055,Wall,98D2D580-EB71-924D-8A04-3D4585A6FDF6,1.60,0.10,3.37,MURO-D04,1,11.1,12.5,0.0,11.2,14.1,3.37,,,,,,,,,
2056,Wall,E641E179-679C-4645-81FE-2082B62AD43E,0.88,0.10,3.37,MURO-D06,1,8.82,12.5,0.0,9.7,12.6,3.37,,,,,,,,,
2057,Wall,1DD8A67E-3E3E-9349-AC80-6447CAD5C918,2.94,0.10,3.37,MURO-D02,1,7.49,11.16,0.0,7.59,14.1,3.37,507C8162-C570-C04B-8C80-9D09380BBDCF,,,,,,,,
2058,Wall,80116300-8495-4044-A5E3-6C3302CB8EDF,1.60,0.10,3.37,MURO-D03,1,8.82,12.5,0.0,8.92,14.1,3.37,,,,,,,,,
2059,Wall,2D7D1713-B541-D445-970F-9CB258A757E2,1.60,0.10,3.37,MURO-D05,0,12.69,12.5,0.0,12.79,14.1,3.37,,,,,,,,,
2060,Wall,5CA3ED7B-6BEC-E646-B7CE-9AA1783D80EF,1.69,0.10,3.37,MURO-D08,1,11.1,12.5,0.0,12.79,12.6,3.37,A09576A0-1F79-8040-AF1C-7CF634655695,,,,,,,,
2061,Wall,92C4F244-B2B4-DC49-A2EF-2BB30AA38AC4,1.34,0.10,3.37,MURO-D07,1,11.63,11.16,0.0,11.73,12.5,3.37,1CB9F2E5-793C-FA45-9386-3BC1C6795664,,,,,,,,
2062,Wall,3734DE2D-087A-BA4B-AE1C-2B42DB8383B5,7.20,0.50,3.09,MUR - 001,0,5.68,9.89,-3.35,6.18,17.09,-0.26,,,,,,,,,
2063,Wall,E4F0E1BA-380F-EE4F-9D42-E75F13CC1C25,0.60,0.02,0.83,MUR - 021,1,11.3,13.89,0.08,11.9,13.97,0.91,,,,,,,,,
2064,Wall,A54F325E-6945-0946-B446-B1DB042EB2FC,0.36,0.02,2.58,MUR - 019,1,11.28,13.02,0.06,11.3,13.38,2.64,,,,,,,,,
2065,Wall,7A1B64EA-8E9E-BF4C-A19D-D4EFBE06AE91,2.60,0.42,1.39,MUR - 001,0,6.08,7.19,5.71,8.68,7.6,7.1,,,,,,,,,
2066,Wall,20C8AD2D-1C00-0F48-98F1-6A212BFCA948,0.00,0.15,0.33,MURO - 009,0,8.31,8.14,-0.0,8.58,8.4,0.33,,,,,,,,,
2067,Wall,29EAB156-C1A3-A943-9FA6-EDE69C99E2AC,7.20,0.50,3.09,MUR - 001,1,13.69,9.89,-3.35,14.18,17.09,-0.26,,,,,,,,,
2068,Wall,3AD96907-74C0-C849-87E0-58D0596ADB6E,0.00,0.15,0.33,MURO - 010,0,8.27,8.18,-0.0,8.53,8.45,0.33,,,,,,,,,
2069,Wall,143955B8-0D61-9048-94CA-C0BADEB1BF88,8.30,0.42,3.09,MUR - 001,1,5.78,16.77,-3.35,14.08,17.19,-0.26,,,,,,,,,
