node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,embedded_in_wall_guid
1697,Door,EAEF9992-CF86-6148-9837-1EE981348A92,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,8.7,12.03,12.12,11.1,,,,,,,EC385D17-3918-A640-8D78-5B0C3E244F46
1698,Door,4818368D-D089-C045-9475-E115E59D8A4D,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,8.7,12.96,13.07,10.8,,,,,,,5A1D26B6-DB4E-1245-9A97-86BF88307C83
1699,Door,2598EDAF-C1C3-DD40-851D-820831EBD4D0,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,8.7,19.01,13.07,10.8,,,,,,,0870F8A1-E3B5-8E48-B5A2-163361BD7E21
1700,Door,70CCCA25-1025-D140-80C1-B065F0E62387,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,8.7,20.05,12.12,11.1,,,,,,,4ACA9004-04E3-9142-B034-742B237510B4
1701,Door,46D0D0A8-F4B8-9442-9061-43AE1BC35BD1,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,8.7,12.96,14.84,10.8,,,,,,,F34AA03F-A0C8-0744-BD06-3080B9E8A40D
1702,Door,B274EAE3-FAAA-144A-A88D-3C7F90798FBF,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,8.7,19.01,14.84,10.8,,,,,,,F1C60273-3DA8-B446-BDC8-92FC82EA976F
1703,Door,59794558-061C-074B-BD57-1C04459C5D55,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,12.4,20.43,15.41,14.5,,,,,,,C638F1E1-3855-0343-B7AF-039F0E33E62D
1704,Door,3A05F8BB-FF95-F242-BAC5-20A2FF1EF857,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,12.4,20.43,12.98,14.5,,,,,,,C638F1E1-3855-0343-B7AF-039F0E33E62D
1705,Door,3B1A4C97-7506-3640-9BC4-300257DDC9A8,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,12.4,10.73,15.41,14.5,,,,,,,B4DE870B-017B-D943-A754-8FFBCF819351
1706,Door,9D8B1EE6-71D6-8C4B-854C-DEBD73EAF619,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,12.4,10.73,12.98,14.5,,,,,,,B4DE870B-017B-D943-A754-8FFBCF819351
1707,Door,B10842C9-5D15-8A4F-9882-C2285F37F593,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,12.4,12.03,12.12,14.8,,,,,,,092D1C34-45CF-3246-9756-4E1B7B55335C
1708,Door,B61E87E2-8372-1848-85DC-1EE1915FDC7E,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,12.4,12.96,13.07,14.5,,,,,,,A24C2B19-4029-0842-8620-0E1995120D8D
1709,Door,A5099FE4-5DF3-8E4E-838B-53DB1144131C,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,12.4,19.01,13.07,14.5,,,,,,,94A58DF9-46FC-5C4C-A7B8-B4D9588691CF
1710,Door,87187EB2-92CE-834C-A990-974A823AABAF,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,12.4,20.05,12.12,14.8,,,,,,,D3B40073-D720-4343-9A23-0907BCA77048
1711,Door,07B47154-EE0B-FE4C-90A3-3FE2AB08367B,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,12.4,12.96,14.84,14.5,,,,,,,F964333C-7DEE-6748-9580-4C6B2891CC0C
1712,Door,002A1BC8-091A-3C42-8724-932AF6AFB89B,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,12.4,19.01,14.84,14.5,,,,,,,4478B9F0-DEBC-0247-B220-466E41F6166F
1713,Door,8866DCE0-D53A-3043-AC7B-80D30B8F2566,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,16.1,20.43,15.41,18.2,,,,,,,6B7B2242-0952-3741-B4EB-443364DAFA97
1714,Door,4195A2F4-756C-3847-84C6-B791FF8B96D1,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,16.1,20.43,12.98,18.2,,,,,,,6B7B2242-0952-3741-B4EB-443364DAFA97
1715,Door,89351601-ADED-0449-A508-929554C5CCF5,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,16.1,10.73,15.41,18.2,,,,,,,20AF79CB-7276-8E45-B46E-7F5ADCFD3DEC
1716,Door,49EDD596-A5D1-B744-AD40-B4333D879688,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,16.1,10.73,12.98,18.2,,,,,,,20AF79CB-7276-8E45-B46E-7F5ADCFD3DEC
1717,Door,D723207B-CF01-CE45-967D-AA046A8DD644,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,16.1,12.03,12.12,18.5,,,,,,,54F5C73B-590F-E24E-9BB4-38D444D11738
1718,Door,CC1694C2-4966-724B-B52F-2B5AAAF86A5C,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,16.1,12.96,13.07,18.2,,,,,,,6551D5B9-BC62-ED45-A4B8-D4402E08FDD4
1719,Door,DE02A987-03F6-0242-B330-5373D5F97F31,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,16.1,19.01,13.07,18.2,,,,,,,BDDECAB4-2D3E-5B4B-AA03-21374E0CA21F
1720,Door,8C3B0FC1-8363-8143-A461-7D625A35BB3A,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,16.1,20.05,12.12,18.5,,,,,,,B20C8FBE-3412-F94D-8FF5-49A74E50DBDA
1721,Door,18CA42E3-98FD-744C-8FA3-D2E8D9821514,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,16.1,12.96,14.84,18.2,,,,,,,A883D063-7CCA-DE4E-AFDD-3E1F8E4A9292
1722,Door,D4D4FC24-C440-0746-B500-6CAF3464778A,,0.90 ,2.10 ,,DOO - 001,0,18.11,13.91,16.1,19.01,14.84,18.2,,,,,,,98E1C210-3970-D843-9D0E-49AA3C82257B
1723,Door,A49D4445-4C06-5347-ACA5-A3F0515159A3,,0.70 ,2.10 ,,DOO - 001,0,20.33,14.66,19.8,20.43,15.41,21.9,,,,,,,6280D5A8-4B3A-C449-B587-7F98C003D370
1724,Door,1A395576-167C-C14F-A96E-F731DE3EA99A,,0.70 ,2.10 ,,DOO - 001,0,20.33,12.23,19.8,20.43,12.98,21.9,,,,,,,6280D5A8-4B3A-C449-B587-7F98C003D370
1725,Door,BD71D6F7-4D36-4B48-9937-5ECB0022D050,,0.70 ,2.10 ,,DOO - 001,0,10.63,14.66,19.8,10.73,15.41,21.9,,,,,,,195FFA22-F480-8642-9A90-EE4DB8E70D13
1726,Door,52421A0A-3E83-C141-9A1A-D9C939D1E382,,0.70 ,2.10 ,,DOO - 001,0,10.63,12.23,19.8,10.73,12.98,21.9,,,,,,,195FFA22-F480-8642-9A90-EE4DB8E70D13
1727,Door,2CA37763-0FC1-4840-81CF-22D3B760E0C8,,0.90 ,2.40 ,,DOO - 001,0,11.1,11.15,19.8,12.03,12.12,22.2,,,,,,,6CF87A22-6D15-A04D-A9AB-2CD3CC510B9A
1728,Door,AF8D88B9-842B-634B-A659-1684A61BCD58,,0.90 ,2.10 ,,DOO - 001,0,12.06,12.13,19.8,12.96,13.07,21.9,,,,,,,EE726520-3BD7-DE4A-859D-DDE296DAB54D
1729,Door,6D2BD274-154B-A24B-8FD0-CDC93E2C6EBC,,0.90 ,2.10 ,,DOO - 001,0,18.11,12.13,19.8,19.01,13.07,21.9,,,,,,,AA43F913-2B7D-9C4B-AAD9-DA37EA538668
1730,Door,4077CA9A-3777-2C43-BC74-4503D2BF1B47,,0.90 ,2.40 ,,DOO - 001,0,19.03,11.15,19.8,20.05,12.12,22.2,,,,,,,3A294143-D75C-2A40-81E2-554C6E4F3864
1731,Door,45478668-3031-FD49-8113-A7B603152D54,,0.90 ,2.10 ,,DOO - 001,0,12.06,13.91,19.8,12.96,14.84,21.9,,,,,,,8B963586-A1A8-FE49-ACEE-0D8310B260F9
