node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,embedded_in_wall_guid,marker_guid
55,DimNode 42,1AF08088-F96F-4DBD-9E2C-D21AEECA2141,00000000-0000-0000-0000-000000000000,38.38,38.38,426.36,-290.93,Dim Node 42,426.35,-290.93,0.0,426.36,-290.92,0.0,,,,,,,,,,
56,Dimension,1AF08088-F96F-4DBD-9E2C-D21AEECA2141,,,38.38,,,Dim 14,426.21,-329.39,10.0,426.51,-290.85,10.0,,,,,,,,,,
57,DimNode 43,512A74BF-BCD5-4FD7-B27C-B9F97D61E754,00000000-0000-0000-0000-000000000000,0.00,0.00,426.11,-328.79,Dim Node 43,426.1,-328.8,0.0,426.11,-328.79,0.0,,,,,,,,,,
58,DimNode 44,512A74BF-BCD5-4FD7-B27C-B9F97D61E754,00000000-0000-0000-0000-000000000000,42.61,42.61,444.65,-367.16,Dim Node 44,444.64,-367.16,0.0,444.65,-367.15,0.0,,,,,,,,,,
59,Dimension,512A74BF-BCD5-4FD7-B27C-B9F97D61E754,,,42.61,,,Dim 15,425.96,-367.24,10.0,444.8,-328.71,10.0,,,,,,,,,,
60,DimNode 45,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,0.00,0.00,408.08,-329.4,Dim Node 45,408.08,-329.41,0.0,408.09,-329.4,0.0,,,,,,,,,,
61,DimNode 46,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-322.98,Dim Node 46,408.08,-322.98,0.0,408.09,-322.97,0.0,,,,,,,,,,
62,DimNode 47,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-316.56,Dim Node 47,408.08,-316.56,0.0,408.09,-316.55,0.0,,,,,,,,,,
63,DimNode 48,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-310.13,Dim Node 48,408.08,-310.14,0.0,408.09,-310.13,0.0,,,,,,,,,,
64,DimNode 49,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-303.71,Dim Node 49,408.08,-303.72,0.0,408.09,-303.71,0.0,,,,,,,,,,
65,DimNode 50,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,6.42,6.42,408.08,-297.29,Dim Node 50,408.08,-297.29,0.0,408.09,-297.28,0.0,,,,,,,,,,
66,DimNode 51,49636099-BECD-4C37-B954-C63323C7B445,00000000-0000-0000-0000-000000000000,6.50,6.50,408.08,-290.79,Dim Node 51,408.08,-290.8,0.0,408.09,-290.79,0.0,,,,,,,,,,
67,Dimension,49636099-BECD-4C37-B954-C63323C7B445,,,38.61,,,Dim 16,407.93,-329.48,12.5,408.23,-290.71,12.5,,,,,,,,,,
68,DimNode 52,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,0.00,0.00,409.73,-336.71,Dim Node 52,409.73,-336.72,0.0,409.74,-336.71,0.0,,,,,,,,,,
69,DimNode 53,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,6.37,6.37,412.52,-342.44,Dim Node 53,412.52,-342.45,0.0,412.53,-342.44,0.0,,,,,,,,,,
70,DimNode 54,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,6.13,6.13,415.2,-347.95,Dim Node 54,415.2,-347.96,0.0,415.21,-347.95,0.0,,,,,,,,,,
71,DimNode 55,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,6.14,6.14,417.89,-353.47,Dim Node 55,417.88,-353.48,0.0,417.89,-353.47,0.0,,,,,,,,,,
72,DimNode 56,C2DB6F63-EE11-4FDD-AD76-5C8ED9BDB111,00000000-0000-0000-0000-000000000000,6.15,6.15,420.58,-359.01,Dim Node 56,420.57,-359.01,0.0,420.58,-359.0,0.0,,,,,,,,,,
