node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
761,Wall,C2A7EED3-749F-AD40-BF90-00571EBE293B,0.36,0.14,3.25,FW-01,1,74.02,44.7,0.0,74.39,44.84,3.25,,,,,,,,,
762,Wall,6B07010D-0833-9446-8C19-1F8339F6807C,1.10,0.16,2.73,FW-03,1,71.32,43.74,0.0,71.48,44.84,2.73,E49E96AC-357E-7F43-BC3F-8707223C9FC7,,,,,,,,
763,Wall,46FA110B-C6C1-4061-82F4-A976B824A4DC,52.00,0.25,1.20,SFB-01,0,34.15,35.21,-1.2,86.15,35.46,0.0,,,,,,,,,
764,Wall,0886D821-11D6-43E5-B4A4-4EC69AD21E43,0.03,5.28,9.20,EC-06,0,36.3,35.21,8.0,41.58,35.24,17.2,,,,,,,,,
765,Wall,832B9145-4921-8C49-9098-B19371A3375E,3.75,0.14,3.24,FW-01,1,73.83,44.84,0.0,73.97,48.59,3.24,1746B3E4-6DB6-6E43-8681-977C4AE61253,,,,,,,,
766,Wall,D1D3253D-C736-1D4F-89F8-161DA4D2BA27,1.84,0.30,2.73,FW-04,1,67.73,42.56,0.0,69.57,42.86,2.73,,,,,,,,,
767,Wall,4AB120C2-6D3D-7D49-8FFF-A941E6B0BB0C,2.13,0.16,2.73,FW-03,1,71.32,40.59,0.0,71.48,42.71,2.73,"5EDAD4E5-9CA9-5549-BF4B-BEE63ACE3031, 2DC42E24-43A2-BB43-B7C2-F24EF06E8AF3",,,,,,,,
768,Wall,00853648-A33F-4DC7-BF18-C566EFAE2B3B,0.26,0.02,3.10,FW-07,0,73.76,40.57,12.9,74.02,40.59,16.0,,,,,,,,,
769,Wall,DA5A481C-705C-115B-D024-4B9915A0FB29,6.05,0.25,4.30,SW-01,1,53.9,40.59,4.3,59.95,40.84,8.6,FE3F6C2C-92F0-4551-87FA-B39637576608,,,,,,,,
770,Wall,B5F7EFA1-23E4-6140-BEF4-BF7B460C7315,1.70,0.51,1.61,SW-02,1,60.07,42.59,-5.51,61.77,43.09,-3.9,,,,,,,,,
771,Wall,A47D43FE-F43D-4C63-922C-B71CAF428668,0.03,5.28,9.20,EC-05,1,82.21,35.21,-0.6,87.5,35.24,8.6,,,,,,,,,
772,Wall,2392A53D-8F38-4B93-89B7-CFD7A7C0CB66,0.86,0.14,3.10,FW-01,0,72.77,40.59,12.9,73.64,40.72,16.0,,,,,,,,,
773,Wall,55171725-0795-4F20-8E53-3CAAFC877F2D,4.00,0.51,4.00,SW-02,1,53.52,36.71,-4.0,54.02,40.71,0.0,,,,,,,,,
774,Wall,9783A799-CBDB-49C6-957F-34194F26109E,6.05,0.25,3.60,SW-01,1,53.9,40.59,-3.6,59.95,40.84,0.0,62569010-B600-4583-B57F-1240596EBD73,,,,,,,,
775,Wall,2B4F470D-E45B-4FEA-BFDD-B55766050651,6.05,0.51,4.00,SW-02,1,53.9,44.59,-4.0,59.95,45.09,0.0,,,,,,,,,
776,Wall,4DBBF86E-73D2-4343-B1F6-0EE36853C902,0.25,0.02,3.25,FW-07,0,74.02,40.59,8.6,74.04,40.84,11.85,,,,,,,,,
777,Wall,95A43216-7EB6-514A-B83F-B19B467F626A,3.75,0.14,3.25,FW-01,1,65.83,44.84,0.0,65.97,48.59,3.25,,,,,,,,,
778,Wall,B39568D6-B6C7-C146-994B-689BF51DE6BC,4.25,0.15,3.22,FW-02,1,67.73,40.59,0.0,67.87,44.84,3.22,69A3C36A-5F41-9A48-AE65-FC709B0D30EE,,,,,,,,
779,Wall,D822F7A6-CD9E-473C-A708-1420AD810CED,4.25,0.16,2.73,FW-03,1,69.57,40.59,12.9,69.73,44.84,15.63,1CA9E8CA-F9A2-4046-969A-C1DD1FBC503F,,,,,,,,
780,Wall,38B7B76D-39EB-4899-9BC6-B27A38D9C4C0,3.75,0.14,3.10,FW-01,0,73.83,44.84,12.9,73.97,48.59,16.0,AF0F0F11-5C4A-4977-BD7C-4EFFD759D36C,,,,,,,,
781,Wall,60C50008-EACB-6440-A93D-9D70EE894555,4.25,0.11,2.73,FW-06,1,53.66,40.59,0.0,53.77,44.84,2.73,,,,,,,,,
782,Wall,FED30F07-1860-E34D-BFA1-C54C6CA84A99,3.75,0.14,3.25,FW-01,1,50.02,44.7,0.0,53.77,44.84,3.25,4985A122-7325-2849-9D85-7301B6DFABE8,,,,,,,,
783,Wall,39967AD7-1758-0444-BE0E-919493E06349,4.25,0.16,2.73,FW-03,1,69.57,40.59,0.0,69.73,44.84,2.73,EE1BE09C-2F33-0E41-8230-11FE8FCC88AA,,,,,,,,
784,Wall,06360F8B-1945-4420-8875-456AF26A90EC,0.25,0.02,3.10,FW-07,0,74.02,44.59,12.9,74.04,44.84,16.0,,,,,,,,,
785,Wall,3411C29B-72B9-455E-864D-F0662DB9CC8C,6.75,0.15,3.10,FW-02,1,66.02,44.69,12.9,72.77,44.84,16.0,,,,,,,,,
