node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
0,DimNode 0,053D03C4-B54B-424F-B1F3-C157E92A5358,3A166D5F-444B-4FFE-9C42-9E4433C7ED62,0,0.00,3.9,0.0,Dim Node 0,3.89,-0.0,0.0,3.9,0.0,0.0
1,DimNode 1,053D03C4-B54B-424F-B1F3-C157E92A5358,3A166D5F-444B-4FFE-9C42-9E4433C7ED62,336,0.34,3.9,0.34,Dim Node 1,3.89,0.33,0.0,3.9,0.34,0.0
2,DimNode 2,053D03C4-B54B-424F-B1F3-C157E92A5358,A3831D8D-2072-464A-907B-4FF183A3BEBD,"4,328",4.33,3.9,4.66,Dim Node 2,3.89,4.66,0.0,3.9,4.67,0.0
3,DimNode 3,053D03C4-B54B-424F-B1F3-C157E92A5358,A3831D8D-2072-464A-907B-4FF183A3BEBD,336,0.34,3.9,5.0,Dim Node 3,3.89,4.99,0.0,3.9,5.01,0.0
4,Dimension,053D03C4-B54B-424F-B1F3-C157E92A5358,,,5.00,,,Dim 1,3.8,-0.05,0.0,3.99,5.05,0.0
5,DimNode 4,3FE05E78-CFCD-4703-9E90-E86F8ED02076,05526A12-85D5-41ED-9A07-FD2FA2B2489E,0,0.00,0.0,1.31,Dim Node 4,-0.0,1.31,0.0,0.0,1.32,0.0
6,DimNode 5,3FE05E78-CFCD-4703-9E90-E86F8ED02076,05526A12-85D5-41ED-9A07-FD2FA2B2489E,336,0.34,0.34,1.31,Dim Node 5,0.33,1.31,0.0,0.34,1.32,0.0
7,DimNode 6,3FE05E78-CFCD-4703-9E90-E86F8ED02076,26D78958-F733-42A0-9437-6A2E3AFDDDBB,"4,328",4.33,4.66,1.31,Dim Node 6,4.66,1.31,0.0,4.67,1.32,0.0
8,DimNode 7,3FE05E78-CFCD-4703-9E90-E86F8ED02076,26D78958-F733-42A0-9437-6A2E3AFDDDBB,336,0.34,5.0,1.31,Dim Node 7,4.99,1.31,0.0,5.01,1.32,0.0
9,Dimension,3FE05E78-CFCD-4703-9E90-E86F8ED02076,,,5.00,,,Dim 2,-0.05,1.22,0.0,5.05,1.41,0.0
17,Zone Stamp,9242F349-3501-4A25-BE75-4657E5AA5E3B,,,,,,Zone Stamp,1.91,1.7,0.0,3.17,2.44,0.0
18,Door Label,392FEA53-C27B-4718-B3AC-E27D1FCA0669,,,,,,Door Label,-0.56,-0.34,0.0,1.24,-0.09,0.0
19,DimText 0,053D03C4-B54B-424F-B1F3-C157E92A5358,,0,,3.87,-0.05,Dim Text 0,3.87,-0.05,0.0,4.37,0.45,0.0
20,DimText 1,053D03C4-B54B-424F-B1F3-C157E92A5358,,336,,3.87,-0.31,Dim Text 1,3.87,-0.31,0.0,4.37,0.19,0.0
21,DimText 2,053D03C4-B54B-424F-B1F3-C157E92A5358,,"4,328",,3.87,2.14,Dim Text 2,3.87,2.14,0.0,4.37,2.64,0.0
22,DimText 3,053D03C4-B54B-424F-B1F3-C157E92A5358,,336,,3.87,4.35,Dim Text 3,3.87,4.35,0.0,4.37,4.85,0.0
23,DimText 4,3FE05E78-CFCD-4703-9E90-E86F8ED02076,,0,,-0.05,1.34,Dim Text 4,-0.05,1.34,0.0,0.45,1.84,0.0
24,DimText 5,3FE05E78-CFCD-4703-9E90-E86F8ED02076,,336,,-0.31,1.34,Dim Text 5,-0.31,1.34,0.0,0.19,1.84,0.0
25,DimText 6,3FE05E78-CFCD-4703-9E90-E86F8ED02076,,"4,328",,2.14,1.34,Dim Text 6,2.14,1.34,0.0,2.64,1.84,0.0
26,DimText 7,3FE05E78-CFCD-4703-9E90-E86F8ED02076,,336,,4.35,1.34,Dim Text 7,4.35,1.34,0.0,4.85,1.84,0.0
