node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
4082,DimText 1325,EE16E634-F6CE-AB45-A0D9-A25D0F8545B5,,34,,13.14,13.16,Dim Text 1325,13.14,13.16,0.0,13.64,13.66,0.0,,,,,,,,,,
4083,DimText 1326,EE16E634-F6CE-AB45-A0D9-A25D0F8545B5,,56,,13.14,13.61,Dim Text 1326,13.14,13.61,0.0,13.64,14.11,0.0,,,,,,,,,,
4084,DimText 1327,CCBF28C9-1F09-3941-9799-B4D569A5AB50,,0,,11.22,13.3,Dim Text 1327,11.22,13.3,0.0,11.72,13.8,0.0,,,,,,,,,,
4085,DimText 1328,CCBF28C9-1F09-3941-9799-B4D569A5AB50,,4,,11.16,13.3,Dim Text 1328,11.16,13.3,0.0,11.66,13.8,0.0,,,,,,,,,,
4086,DimText 1329,CCBF28C9-1F09-3941-9799-B4D569A5AB50,,60,,11.48,13.3,Dim Text 1329,11.48,13.3,0.0,11.98,13.8,0.0,,,,,,,,,,
4087,DimText 1330,CCBF28C9-1F09-3941-9799-B4D569A5AB50,,4,,11.8,13.3,Dim Text 1330,11.8,13.3,0.0,12.3,13.8,0.0,,,,,,,,,,
4088,DimText 1331,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,0,,8.86,14.05,Dim Text 1331,8.86,14.05,0.0,9.36,14.55,0.0,,,,,,,,,,
4089,DimText 1332,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,60,,9.12,14.05,Dim Text 1332,9.12,14.05,0.0,9.62,14.55,0.0,,,,,,,,,,
4090,DimText 1333,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,60,,9.72,14.05,Dim Text 1333,9.72,14.05,0.0,10.22,14.55,0.0,,,,,,,,,,
4091,DimText 1334,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,60,,10.32,14.05,Dim Text 1334,10.32,14.05,0.0,10.82,14.55,0.0,,,,,,,,,,
4092,DimText 1335,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,60,,10.92,14.05,Dim Text 1335,10.92,14.05,0.0,11.42,14.55,0.0,,,,,,,,,,
4093,DimText 1336,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,60,,11.52,14.05,Dim Text 1336,11.52,14.05,0.0,12.02,14.55,0.0,,,,,,,,,,
4094,DimText 1337,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,60,,12.12,14.05,Dim Text 1337,12.12,14.05,0.0,12.62,14.55,0.0,,,,,,,,,,
4095,DimText 1338,4DEC8CCB-8F16-2D42-B173-5E9F61F493DC,,127,,13.03,14.05,Dim Text 1338,13.03,14.05,0.0,13.53,14.55,0.0,,,,,,,,,,
4096,DimText 1339,73FCD675-6BFB-974F-86E8-2E5D83675A99,,0,,11.88,13.87,Dim Text 1339,11.88,13.87,0.0,12.38,14.37,0.0,,,,,,,,,,
