node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax
30,DimNode 24,828F950B-3543-164A-A87A-251F21FB1F74,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 24,7.3,18.24,0.0,7.31,18.25,0.0
31,DimNode 25,828F950B-3543-164A-A87A-251F21FB1F74,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 25,11.93,18.24,0.0,11.94,18.25,0.0
32,DimNode 26,828F950B-3543-164A-A87A-251F21FB1F74,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 26,19.13,18.24,0.0,19.14,18.25,0.0
33,DimNode 27,828F950B-3543-164A-A87A-251F21FB1F74,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 27,27.25,18.24,0.0,27.26,18.25,0.0
34,DimNode 28,828F950B-3543-164A-A87A-251F21FB1F74,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 28,33.25,18.24,0.0,33.26,18.25,0.0
35,DimNode 29,828F950B-3543-164A-A87A-251F21FB1F74,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 29,37.43,18.24,0.0,37.44,18.25,0.0
36,Dimension,828F950B-3543-164A-A87A-251F21FB1F74,,,30.12,,,Dim 7,7.25,18.15,45.7,37.5,18.34,45.7
37,DimNode 30,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 30,7.3,18.24,0.0,7.31,18.25,0.0
38,DimNode 31,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 31,11.93,18.24,0.0,11.94,18.25,0.0
39,DimNode 32,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 32,19.13,18.24,0.0,19.14,18.25,0.0
40,DimNode 33,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 33,27.25,18.24,0.0,27.26,18.25,0.0
41,DimNode 34,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 34,33.25,18.24,0.0,33.26,18.25,0.0
42,DimNode 35,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 35,37.43,18.24,0.0,37.44,18.25,0.0
43,Dimension,E9ADB73C-50DA-AE44-B58A-2BFBB27E7674,,,30.12,,,Dim 8,7.25,18.15,75.3,37.5,18.34,75.3
44,DimNode 36,1506BBD3-A3E8-4D4E-B007-5ECBDE8C742A,5573CB58-4F27-3544-AEAB-341B7082BBF9,0.000,0.00,7.31,19.01,Dim Node 36,7.3,19.01,0.0,7.31,19.02,0.0
45,DimNode 37,1506BBD3-A3E8-4D4E-B007-5ECBDE8C742A,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,30.125,30.12,37.43,19.01,Dim Node 37,37.43,19.01,0.0,37.44,19.02,0.0
46,Dimension,1506BBD3-A3E8-4D4E-B007-5ECBDE8C742A,,,30.12,,,Dim 9,7.25,18.92,0.0,37.5,19.1,0.0
47,DimNode 38,0FAB1FA9-110C-5646-AC1A-39D0CA32AEA8,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 38,7.3,19.01,0.0,7.31,19.02,0.0
48,DimNode 39,0FAB1FA9-110C-5646-AC1A-39D0CA32AEA8,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 39,37.43,19.01,0.0,37.44,19.02,0.0
49,Dimension,0FAB1FA9-110C-5646-AC1A-39D0CA32AEA8,,,30.12,,,Dim 10,7.25,18.92,23.5,37.5,19.1,23.5
50,DimNode 40,6A5CA4DB-B1FB-154E-BD3A-BA870C89B767,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 40,7.3,19.01,0.0,7.31,19.02,0.0
51,DimNode 41,6A5CA4DB-B1FB-154E-BD3A-BA870C89B767,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 41,37.43,19.01,0.0,37.44,19.02,0.0
52,Dimension,6A5CA4DB-B1FB-154E-BD3A-BA870C89B767,,,30.12,,,Dim 11,7.25,18.92,8.7,37.5,19.1,8.7
53,DimNode 42,B172E7A0-DE5C-2546-850D-D912254A95FD,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,18.25,Dim Node 42,7.3,18.24,0.0,7.31,18.25,0.0
54,DimNode 43,B172E7A0-DE5C-2546-850D-D912254A95FD,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,"4,625",4.63,11.93,18.25,Dim Node 43,11.93,18.24,0.0,11.94,18.25,0.0
55,DimNode 44,B172E7A0-DE5C-2546-850D-D912254A95FD,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,"7,200",7.20,19.13,18.25,Dim Node 44,19.13,18.24,0.0,19.14,18.25,0.0
56,DimNode 45,B172E7A0-DE5C-2546-850D-D912254A95FD,E0135B71-870D-CB4F-B07D-B4D6291B6F68,"8,125",8.13,27.26,18.25,Dim Node 45,27.25,18.24,0.0,27.26,18.25,0.0
57,DimNode 46,B172E7A0-DE5C-2546-850D-D912254A95FD,66E94027-BF8C-7D42-8F0D-795A6A6410B0,"6,000",6.00,33.26,18.25,Dim Node 46,33.25,18.24,0.0,33.26,18.25,0.0
58,DimNode 47,B172E7A0-DE5C-2546-850D-D912254A95FD,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"4,175",4.18,37.43,18.25,Dim Node 47,37.43,18.24,0.0,37.44,18.25,0.0
59,Dimension,B172E7A0-DE5C-2546-850D-D912254A95FD,,,30.12,,,Dim 12,7.25,18.15,8.7,37.5,18.34,8.7
