node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
13359,Slab,42530DA6-BEB4-4C42-80BC-6A68829CABCF,,,,SLA - 001,0,-80.3,-12.35,2.88,-78.82,-11.15,2.93,,,,,,,,,
13360,Slab,2F2E4221-55B2-47CE-8476-1C38C0774DD4,,,,SLA - 001,0,-80.3,-13.42,2.88,-78.82,-12.38,2.93,,,,,,,,,
13361,Slab,01176858-3DB5-48FA-8887-9E0CB96C3D3E,,,,SLA - 001,0,-80.3,-11.12,2.88,-78.82,-10.08,2.93,,,,,,,,,
13362,Slab,B2348FA1-2039-4E97-88F2-AE97DF362D10,,,,SLA - 001,0,-80.3,-14.4,2.88,-78.82,-13.45,2.93,,,,,,,,,
13363,Slab,52818E66-EB6F-4FB2-85FC-51C5A5857182,,,,SLA - 001,0,-80.3,-15.37,2.88,-78.82,-14.43,2.93,,,,,,,,,
13364,Slab,2387D370-C4A1-4485-808F-DF758EBB2E21,,,,SLA - 001,0,-80.3,-11.15,2.9,-78.82,-11.12,2.95,,,,,,,,,
13365,Slab,12EBA705-5687-4CBD-9F00-AC23663521D3,,,,SLA - 001,0,-80.3,-12.38,2.9,-78.82,-12.35,2.95,,,,,,,,,
13366,Slab,CAEB214C-7D92-4023-9416-82EE47A546A7,,,,SLA - 001,0,-80.3,-13.45,2.9,-78.82,-13.42,2.95,,,,,,,,,
13367,Slab,06C19BD4-B38B-4F73-BC5A-10231596497D,,,,SLA - 001,0,-80.3,-14.43,2.9,-78.82,-14.4,2.95,,,,,,,,,
13368,Slab,7A16B74C-25E3-458E-9839-B4CF0D20CED9,,,,SLA - 001,0,-80.3,-15.4,2.9,-78.6,-15.37,2.95,,,,,,,,,
13369,Slab,5A49827C-DB96-4E8C-A713-208C56C2D136,,,,SLA - 001,0,-80.3,-10.08,2.9,-78.6,-10.05,2.95,,,,,,,,,
13370,Slab,40377F11-810B-4A2D-9B56-0C322FC8F15D,,,,SLA - 001,0,-78.82,-15.4,2.95,-78.52,-10.08,3.0,,,,,,,,,
13371,Slab,D00DA172-8359-4DCD-84D5-28A4C225F943,,,,SLA - 001,0,-66.5,-18.68,2.53,-63.22,-17.22,2.55,,,,,,,,,
13372,Slab,56485903-1B1D-4646-AF44-4260DF03D991,,,,SLA - 001,0,-81.94,-17.25,2.9,-78.55,-17.22,2.95,,,,,,,,,
