node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,embedded_door_guid,label_type,zone_stamp_guid,room_name,room_number,room_height,embedded_in_wall_guid
0,DimNode 0,AC34587D-1A9D-AC47-9402-EA3FEAEB7782,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 0,7.3,19.01,0.0,7.31,19.02,0.0,,,,,,,,,
1,DimNode 1,AC34587D-1A9D-AC47-9402-EA3FEAEB7782,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 1,37.43,19.01,0.0,37.44,19.02,0.0,,,,,,,,,
2,Dimension,AC34587D-1A9D-AC47-9402-EA3FEAEB7782,,,30.12,,,Dim 1,7.25,18.92,75.3,37.5,19.1,75.3,,,,,,,,,
3,DimNode 2,D70F4555-5833-2E40-9F43-1286E58EBBE5,5573CB58-4F27-3544-AEAB-341B7082BBF9,"0,000",0.00,7.31,19.01,Dim Node 2,7.3,19.01,0.0,7.31,19.02,0.0,,,,,,,,,
4,DimNode 3,D70F4555-5833-2E40-9F43-1286E58EBBE5,C7BEA488-82BF-4A4E-AA1B-40AB94B91957,"30,125",30.12,37.43,19.01,Dim Node 3,37.43,19.01,0.0,37.44,19.02,0.0,,,,,,,,,
5,Dimension,D70F4555-5833-2E40-9F43-1286E58EBBE5,,,30.12,,,Dim 2,7.25,18.92,45.7,37.5,19.1,45.7,,,,,,,,,
6,DimNode 4,3A78BB46-A8FE-F841-BD16-7367455B3360,5573CB58-4F27-3544-AEAB-341B7082BBF9,0.000,0.00,7.31,18.25,Dim Node 4,7.3,18.24,0.0,7.31,18.25,0.0,,,,,,,,,
7,DimNode 5,3A78BB46-A8FE-F841-BD16-7367455B3360,7068DC9B-2AF6-DE44-873E-4577F2DB20D4,4.625,4.63,11.93,18.25,Dim Node 5,11.93,18.24,0.0,11.94,18.25,0.0,,,,,,,,,
8,DimNode 6,3A78BB46-A8FE-F841-BD16-7367455B3360,49CE2419-FF4A-9147-AAB4-A71BEA4F62B0,7.200,7.20,19.13,18.25,Dim Node 6,19.13,18.24,0.0,19.14,18.25,0.0,,,,,,,,,
9,DimNode 7,3A78BB46-A8FE-F841-BD16-7367455B3360,E0135B71-870D-CB4F-B07D-B4D6291B6F68,8.125,8.13,27.26,18.25,Dim Node 7,27.25,18.24,0.0,27.26,18.25,0.0,,,,,,,,,
