node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
652,Wall,98992DC5-33AE-4D07-87BC-7F382C1960B2,0.89,0.50,0.50,FND-045,0,36.3,8.04,-1.8,37.19,8.54,-1.3,,,,,,,,,
653,Wall,156C2E64-0076-4DEB-841E-F00FD8D91F46,1.50,0.55,0.85,FND-021,1,31.13,2.37,-1.1,32.63,2.92,-0.25,,,,,,,,,
654,Wall,23C0BCCC-F2B7-483C-B25F-27A845F0BC77,0.50,0.55,0.85,FND-022,0,42.43,2.37,-2.6,42.93,2.92,-1.75,,,,,,,,,
655,Wall,7177EAAE-560C-4239-91E6-726B005CF0D4,1.50,0.55,0.95,FND-013,1,38.56,9.96,-2.6,40.06,10.51,-1.65,,,,,,,,,
656,Wall,7AF61670-29B6-4022-872D-219D5A789693,1.00,0.55,0.50,FND-040,0,37.21,2.37,-1.8,38.21,2.92,-1.3,,,,,,,,,
657,Wall,D3CC91C8-C297-4CCA-9897-4CED08692915,3.08,0.55,0.50,FND-023,0,32.63,2.37,-1.1,35.71,2.92,-0.6,,,,,,,,,
658,Wall,B34416A0-273E-4770-847B-309B45A46E72,2.26,0.55,0.40,FND-014,0,36.3,9.96,-1.8,38.56,10.51,-1.4,,,,,,,,,
659,Wall,1908B4DF-CF7D-4A01-B8DD-C5B692CF658F,2.61,0.50,0.50,FND-059,0,32.46,7.42,-0.75,35.06,7.92,-0.25,,,,,,,,,
660,Wall,4A8995D3-3D09-4715-947A-F356EE1DB4F6,1.50,0.55,1.55,FND-015,0,33.56,9.96,-1.8,35.06,10.51,-0.25,,,,,,,,,
661,Wall,1FCAD7CE-1F36-4F7C-941E-52A3A4EC0322,1.95,0.08,1.28,WAL-I-012,0,37.54,6.84,-1.29,39.49,6.92,-0.01,,,,,,,,,
662,Wall,66E0C278-4043-49CB-9979-DC6DC9C2D84D,2.05,0.30,0.46,FTG-021,1,41.84,5.09,-1.75,42.14,7.14,-1.29,,,,,,,,,
663,Wall,4DBFF563-14E7-4E9A-8482-A47263E18294,2.51,0.41,5.02,WAL-E-005,0,35.33,2.41,-0.24,37.84,2.82,4.78,105D8986-B8EA-4CBA-BB07-1CC4780EABBD,,,,,,,,
664,Wall,D7E5E514-8CAF-48FB-A3A8-BDD334EAA004,2.11,0.41,3.94,WAL-E-024,1,39.54,10.02,1.66,41.65,10.43,5.61,,,,,,,,,
665,Wall,AA5207B7-D06E-4C11-9E6B-C011DEBABA8E,0.12,0.50,1.55,FND-060,0,36.3,7.92,-1.8,36.8,8.04,-0.25,,,,,,,,,
666,Wall,DBC6EE63-DFBB-4446-BE1C-BEB8DAB1BFD6,2.64,0.50,0.95,FND-046,1,39.14,2.37,-2.25,39.64,5.01,-1.3,,,,,,,,,
667,Wall,01075E6D-4640-4282-B8E0-C840077F00D3,1.80,0.41,5.14,WAL-E-017,0,37.84,2.41,-0.25,39.64,2.82,4.89,,,,,,,,,
668,Wall,822D968E-DE26-47BD-82F3-CFEEDD7CE52E,2.60,0.50,0.50,FND-065,1,36.3,7.92,-1.8,36.8,10.51,-1.3,,,,,,,,,
669,Wall,76DD3248-CBDC-4871-AC70-26D7331493FF,2.90,0.32,0.50,FND-035,1,39.74,0.18,-1.8,42.64,0.5,-1.3,,,,,,,,,
670,Wall,520AFD3C-404A-4FAD-B8DF-88C8C377CF59,1.24,0.50,1.55,FND-061,1,35.06,7.42,-1.8,36.3,7.92,-0.25,,,,,,,,,
671,Wall,AD5B4309-AFDC-445E-9CD7-20532B94C004,1.39,0.88,0.50,FND-064,1,35.41,6.54,-0.75,36.8,7.42,-0.25,,,,,,,,,
