node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,label_type,embedded_door_guid,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
0,DimNode 0,500FBAA5-7300-4061-8600-11C46A1B3A92,BC1E7D39-C7F9-4371-AEF8-6046B3144D27,0.00,0.00,50.61,2.41,Dim Node 0,50.61,2.4,0.0,50.62,2.41,0.0,,,,,,,,,,
1,DimNode 1,500FBAA5-7300-4061-8600-11C46A1B3A92,81E97FFE-BBBF-4D8F-BC28-3960C5506309,4.84,4.84,50.61,7.25,Dim Node 1,50.61,7.24,0.0,50.62,7.25,0.0,,,,,,,,,,
2,DimNode 2,500FBAA5-7300-4061-8600-11C46A1B3A92,2D72B78D-372A-48A5-A65D-ED6F47869A8E,3.18,3.18,50.61,10.43,Dim Node 2,50.61,10.42,0.0,50.62,10.43,0.0,,,,,,,,,,
3,Dimension,500FBAA5-7300-4061-8600-11C46A1B3A92,,,8.02,,,Dim 1,50.56,2.38,0.0,50.66,10.46,0.0,,,,,,,,,,
4,DimNode 3,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,CE3B984F-345C-4B4F-9D17-A441037C58D7,0.00,0.00,26.17,-0.15,Dim Node 3,26.17,-0.15,0.0,26.18,-0.14,0.0,,,,,,,,,,
5,DimNode 4,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,CE3B984F-345C-4B4F-9D17-A441037C58D7,16,0.16,26.33,-0.15,Dim Node 4,26.33,-0.15,0.0,26.34,-0.14,0.0,,,,,,,,,,
6,DimNode 5,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,CE3B984F-345C-4B4F-9D17-A441037C58D7,0.00,0.00,26.33,-0.15,Dim Node 5,26.33,-0.15,0.0,26.34,-0.14,0.0,,,,,,,,,,
7,DimNode 6,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,CE3B984F-345C-4B4F-9D17-A441037C58D7,25,0.25,26.58,-0.15,Dim Node 6,26.58,-0.15,0.0,26.59,-0.14,0.0,,,,,,,,,,
8,DimNode 7,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,CE3B984F-345C-4B4F-9D17-A441037C58D7,0.00,0.00,26.58,-0.15,Dim Node 7,26.58,-0.15,0.0,26.59,-0.14,0.0,,,,,,,,,,
9,DimNode 8,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,DA0097CF-5840-4239-B6FE-D512967ACEB5,2.88,2.87,29.46,-0.15,Dim Node 8,29.45,-0.15,0.0,29.46,-0.14,0.0,,,,,,,,,,
10,DimNode 9,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,DA0097CF-5840-4239-B6FE-D512967ACEB5,0.00,0.00,29.46,-0.15,Dim Node 9,29.45,-0.15,0.0,29.46,-0.14,0.0,,,,,,,,,,
11,DimNode 10,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,DA0097CF-5840-4239-B6FE-D512967ACEB5,10,0.10,29.56,-0.15,Dim Node 10,29.55,-0.15,0.0,29.56,-0.14,0.0,,,,,,,,,,
12,DimNode 11,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,DA0097CF-5840-4239-B6FE-D512967ACEB5,0.00,0.00,29.56,-0.15,Dim Node 11,29.55,-0.15,0.0,29.56,-0.14,0.0,,,,,,,,,,
13,DimNode 12,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,3BBA0080-4ECF-441D-A797-807A2D4EFAF6,2.90,2.90,32.46,-0.15,Dim Node 12,32.45,-0.15,0.0,32.46,-0.14,0.0,,,,,,,,,,
14,DimNode 13,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,3BBA0080-4ECF-441D-A797-807A2D4EFAF6,0.00,0.00,32.46,-0.15,Dim Node 13,32.45,-0.15,0.0,32.46,-0.14,0.0,,,,,,,,,,
15,DimNode 14,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,3BBA0080-4ECF-441D-A797-807A2D4EFAF6,10,0.10,32.56,-0.15,Dim Node 14,32.55,-0.15,0.0,32.56,-0.14,0.0,,,,,,,,,,
16,DimNode 15,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,3BBA0080-4ECF-441D-A797-807A2D4EFAF6,0.00,0.00,32.56,-0.15,Dim Node 15,32.55,-0.15,0.0,32.56,-0.14,0.0,,,,,,,,,,
17,DimNode 16,3CE6F1DB-BAB5-4E5C-9A59-621B6D0FC3A1,EB4B083F-F6F9-47B9-8D41-311FE0D91FA9,3.08,3.08,35.64,-0.15,Dim Node 16,35.63,-0.15,0.0,35.64,-0.14,0.0,,,,,,,,,,
