edge_id,node1_id,node2_id,distance,type
1,1644,1948,0.0,spatial
2,1017,1963,0.0,spatial
3,1534,1949,0.0,spatial
4,1421,1963,0.0,spatial
5,934,1024,0.0,spatial
6,986,1159,0.0,spatial
7,1087,1101,0.0,spatial
8,1642,1948,0.0,spatial
9,983,1399,0.0,spatial
10,1908,1909,0.0,spatial
11,1459,1792,0.0,spatial
12,1858,1949,0.0,spatial
13,983,1361,0.0,spatial
14,1548,1949,0.0,spatial
15,940,980,0.0,spatial
16,1685,1949,0.0,spatial
17,1059,1949,0.0,spatial
18,1301,1949,0.0,spatial
19,1934,1945,0.0,spatial
20,1180,1949,0.0,spatial
21,1541,1833,0.0,spatial
22,1372,1949,0.0,spatial
23,1181,1949,0.0,spatial
24,947,1511,0.0,spatial
25,1849,1948,0.0,spatial
26,1493,1949,0.0,spatial
27,1595,1949,0.0,spatial
28,1026,1310,0.0,spatial
29,1494,1949,0.0,spatial
30,1002,1009,0.0,spatial
31,1211,1949,0.0,spatial
32,999,1949,0.0,spatial
33,1892,1949,0.0,spatial
34,983,1323,0.0,spatial
35,934,1272,0.0,spatial
36,1113,1708,0.0,spatial
37,934,1218,0.0,spatial
38,1035,1095,0.0,spatial
39,1389,1770,0.0,spatial
40,1002,1949,0.0,spatial
41,984,1879,0.0,spatial
42,1790,1949,0.0,spatial
43,1406,1949,0.0,spatial
44,1030,1327,0.0,spatial
45,1078,1925,0.0,spatial
46,1124,1949,0.0,spatial
47,1082,1928,0.0,spatial
48,1688,1949,0.0,spatial
49,1304,1949,0.0,spatial
50,1551,1948,0.0,spatial
51,1891,1947,0.0,spatial
52,933,939,0.0,spatial
53,942,1946,0.0,spatial
54,1612,1949,0.0,spatial
55,993,994,0.0,spatial
56,1106,1934,0.0,spatial
57,1635,1948,0.0,spatial
58,1636,1948,0.0,spatial
59,1005,1941,0.0,spatial
60,1024,1270,0.0,spatial
61,940,1527,0.0,spatial
62,1413,1963,0.0,spatial
63,1250,1949,0.0,spatial
64,981,1313,0.0,spatial
65,1476,1789,0.0,spatial
66,1555,1949,0.0,spatial
67,1679,1949,0.0,spatial
68,1053,1949,0.0,spatial
69,1076,1948,0.0,spatial
70,1295,1949,0.0,spatial
71,1581,1948,0.0,spatial
72,944,1944,0.0,spatial
73,1395,1949,0.0,spatial
74,979,1898,0.0,spatial
75,1051,1078,0.0,spatial
76,1198,1948,0.0,spatial
77,1516,1949,0.0,spatial
78,1487,1949,0.0,spatial
79,1022,1219,0.0,spatial
80,1095,1946,0.0,spatial
81,1026,1285,0.0,spatial
82,1908,1934,0.0,spatial
83,933,1709,0.0,spatial
84,978,1947,0.0,spatial
85,1949,1953,0.0,spatial
86,1485,1949,0.0,spatial
87,941,1942,0.0,spatial
88,975,1127,0.0,spatial
89,1881,1890,0.0,spatial
90,1877,1954,0.0,spatial
91,1883,1949,0.0,spatial
92,1631,1633,0.0,spatial
93,1781,1949,0.0,spatial
94,1397,1949,0.0,spatial
95,1425,1949,0.0,spatial
96,1069,1925,0.0,spatial
97,1021,1417,0.0,spatial
98,1096,1909,0.0,spatial
99,974,1042,0.0,spatial
100,1003,1934,0.0,spatial
101,972,1935,0.0,spatial
102,1946,1955,0.0,spatial
103,1934,1956,0.0,spatial
104,933,941,0.0,spatial
105,1058,1949,0.0,spatial
106,1030,1395,0.0,spatial
107,985,1945,0.0,spatial
108,975,1444,0.0,spatial
109,1023,1360,0.0,spatial
110,1343,1949,0.0,spatial
111,1687,1949,0.0,spatial
112,1000,1563,0.0,spatial
113,1303,1949,0.0,spatial
114,1055,1715,0.0,spatial
115,1241,1949,0.0,spatial
116,1670,1949,0.0,spatial
117,934,1283,0.0,spatial
118,934,1248,0.0,spatial
119,1286,1949,0.0,spatial
120,1023,1349,0.0,spatial
121,984,1944,0.0,spatial
122,1708,1950,0.0,spatial
123,981,1024,0.0,spatial
124,1030,1392,0.0,spatial
125,1022,1244,0.0,spatial
126,1011,1948,0.0,spatial
127,947,989,0.0,spatial
128,1066,1076,0.0,spatial
129,1616,1949,0.0,spatial
130,1077,1925,0.0,spatial
131,1030,1305,0.0,spatial
132,1088,1929,0.0,spatial
133,1232,1949,0.0,spatial
134,1889,1947,0.0,spatial
135,935,1950,0.0,spatial
136,1043,1949,0.0,spatial
137,1453,1949,0.0,spatial
138,1874,1949,0.0,spatial
139,1902,1949,0.0,spatial
140,1022,1241,0.0,spatial
141,943,1037,0.0,spatial
142,1637,1948,0.0,spatial
143,997,1934,0.0,spatial
144,975,1133,0.0,spatial
145,1629,1834,0.0,spatial
146,1092,1928,0.0,spatial
147,1565,1949,0.0,spatial
148,972,1949,0.0,spatial
149,947,1512,0.0,spatial
150,1708,1732,0.0,spatial
151,1144,1148,0.0,spatial
152,934,1256,0.0,spatial
153,1563,1949,0.0,spatial
154,964,1936,0.0,spatial
155,1294,1949,0.0,spatial
156,1456,1949,0.0,spatial
157,1661,1949,0.0,spatial
158,1097,1946,0.0,spatial
159,1882,1949,0.0,spatial
160,934,1349,0.0,spatial
161,1062,1934,0.0,spatial
162,1278,1949,0.0,spatial
163,1552,1948,0.0,spatial
164,947,1509,0.0,spatial
165,1027,1333,0.0,spatial
166,1607,1949,0.0,spatial
167,1027,1210,0.0,spatial
168,1223,1949,0.0,spatial
