node_id,element_type,guid,length,width,height,embedded_door_guid,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
1750,Slab,C7DFEE47-06C5-C747-A1EB-B17A6B304463,,,,,SOLAIO 015,0,-56.14,52.06,0.61,-55.99,52.11,0.71,,,,,,,,
1751,Slab,B188AC43-7C3C-FD41-AC56-EA5D689B5E52,,,,,SOLAIO 015,0,-56.14,52.12,0.61,-55.99,52.17,0.71,,,,,,,,
1752,Slab,1DBB4E54-1B6F-AC4C-8206-E7B23F7FE492,,,,,SOLAIO 015,0,-56.18,52.26,0.21,-56.03,52.31,0.31,,,,,,,,
1753,Slab,10902A95-A2C8-9141-B1B2-3B02795D9327,,,,,SOLAIO 015,0,-56.18,52.32,0.21,-56.03,52.37,0.31,,,,,,,,
1754,Slab,862D9279-350C-2C43-8B23-747BAD613082,,,,,SOLAIO 015,0,-56.14,52.66,0.81,-55.99,52.71,0.91,,,,,,,,
1755,Slab,45DDE27F-FB80-C746-A070-A5791F038BC2,,,,,SOLAIO 015,0,-56.04,52.06,1.61,-55.89,52.11,1.76,,,,,,,,
1756,Slab,E710CC5C-2637-9347-89E0-0309429FE6FA,,,,,SOLAIO 015,0,-56.04,52.12,1.61,-55.89,52.17,1.76,,,,,,,,
1757,Slab,1390BD5D-156D-C540-9E56-360E9F26117E,,,,,SOLAIO 015,0,-56.14,52.26,2.61,-55.99,52.31,2.79,,,,,,,,
1758,Slab,A5676EF3-53FB-314F-95F1-871A8FC4ED24,,,,,SOLAIO 015,0,-56.14,52.32,2.61,-55.99,52.37,2.79,,,,,,,,
1759,Slab,437D8EBD-F782-2947-AD44-A681C5DC3A7B,,,,,SOLAIO 015,0,-56.14,53.52,1.61,-55.99,53.57,1.76,,,,,,,,
1760,Slab,843DF85B-59EB-1341-9F9B-9B63E7D2E6DE,,,,,SOLAIO 015,0,-56.14,53.65,1.61,-55.99,53.7,1.76,,,,,,,,
1761,Slab,009990AB-6702-C74B-A733-AE8E4EF30176,,,,,SOLAIO 015,0,-56.14,53.72,1.61,-55.99,53.77,1.76,,,,,,,,
1762,Slab,9FF45ACF-6CAD-6246-861D-F1BC1ACDFCE9,,,,,SOLAIO 015,0,-56.14,53.52,1.21,-55.99,53.57,1.36,,,,,,,,
1763,Slab,EC183225-C035-AD46-8C55-89CE1753F120,,,,,SOLAIO 015,0,-56.14,54.52,1.21,-55.99,54.57,1.36,,,,,,,,
1764,Slab,5EE75634-77A4-504A-BE0A-97D549FE27C7,,,,,SOLAIO 015,0,-56.14,55.12,0.61,-55.99,55.17,0.76,,,,,,,,
1765,Slab,AE4AAA01-E7F2-E442-A147-94FBFF26D1D8,,,,,SOLAIO 015,0,-56.14,55.52,1.01,-55.99,55.57,1.27,,,,,,,,
1766,Slab,DAF923AD-B7A9-A142-B9A8-6B935ECEC505,,,,,SOLAIO 015,0,-56.14,55.32,1.81,-55.99,55.37,2.06,,,,,,,,
1767,Slab,78C97133-5D82-9148-8E48-8ADE4EED91FA,,,,,SOLAIO 015,0,-56.04,54.25,2.21,-55.99,54.4,2.46,,,,,,,,
1768,Slab,711E6F3A-3432-7A40-B72A-4AA7EE7987F2,,,,,SOLAIO 015,0,-56.14,55.26,1.81,-55.99,55.31,2.06,,,,,,,,
1769,Slab,93D1433E-A48A-4943-BA4B-213A8F4B6CB3,,,,,SOLAIO 015,0,-56.04,56.25,1.21,-55.99,56.4,1.47,,,,,,,,
1770,Slab,3EBEA869-D7B6-3C4F-8814-670510D342DA,,,,,SOLAIO 015,0,-56.12,51.86,1.61,-55.97,51.91,1.76,,,,,,,,
1771,Slab,48094FB2-EA34-414B-8EDF-8C2F76BF599A,,,,,SOLAIO 015,0,-56.12,51.92,1.61,-55.97,51.97,1.76,,,,,,,,
1772,Slab,0F86DF95-6132-DD49-A3FF-59CEFB377692,,,,,SOLAIO 015,0,-56.04,56.06,1.41,-55.89,56.11,1.56,,,,,,,,
1773,Slab,63D347BF-2168-2642-AD45-C9FC6A9F47FB,,,,,SOLAIO 015,0,-56.04,56.12,1.41,-55.89,56.17,1.68,,,,,,,,
1774,Slab,D231C599-C779-C74A-9D73-780EB07375AC,,,,,SOLAIO 015,0,-56.1,56.84,1.61,-55.95,56.89,1.76,,,,,,,,
1775,Slab,A14209BF-5739-7C47-887D-5B53E60CFBC0,,,,,SOLAIO 015,0,-56.1,56.9,1.61,-55.95,56.95,1.76,,,,,,,,
1776,Slab,DA0C5068-5EE1-F54D-BC44-55872689B55C,,,,,SOLAIO 015,0,-56.14,56.46,0.61,-55.99,56.51,0.76,,,,,,,,
1777,Slab,8D384796-A7B0-A645-B67A-DAF63177340A,,,,,SOLAIO 015,0,-56.14,56.52,0.61,-55.99,56.57,0.87,,,,,,,,
1778,Slab,D7BF7327-965A-0C4C-80DA-8B509FB0FC65,,,,,SOLAIO 015,0,-56.08,53.46,0.61,-55.93,53.51,0.76,,,,,,,,
1779,Slab,C2BFADAA-8BCD-4E49-89C8-0101B38B1F0D,,,,,SOLAIO 015,0,-56.08,53.52,0.61,-55.93,53.57,0.76,,,,,,,,
1780,Slab,E4D96996-2BB5-504C-81D8-DF0985FB39C0,,,,,SOLAIO 015,0,-56.18,57.66,0.21,-56.03,57.71,0.36,,,,,,,,
1781,Slab,4308CC16-9A2E-3D41-8D47-14C6A06C4BB1,,,,,SOLAIO 015,0,-56.18,57.72,0.21,-56.03,57.77,0.36,,,,,,,,
1782,Slab,AA0F5F7C-C0A5-E94E-8188-3F8C5A0547A8,,,,,SOLAIO 015,0,-56.06,53.48,2.01,-55.91,53.53,2.16,,,,,,,,
1783,Slab,EAA4D4C4-177F-324A-B181-00C37B8EB92F,,,,,SOLAIO 015,0,-56.06,53.54,2.01,-55.91,53.59,2.16,,,,,,,,
1784,Slab,B7925745-7CBF-C041-9855-E3F798662C6C,,,,,SOLAIO 015,0,-56.14,57.32,1.81,-55.99,57.37,1.96,,,,,,,,
1785,Slab,FF95E63F-2A3E-1049-BB53-237601667A2F,,,,,SOLAIO 015,0,-56.13,54.06,1.21,-55.98,54.11,1.36,,,,,,,,
1786,Slab,CDAECE9A-350F-8E40-A11C-FDE3E9BD96D8,,,,,SOLAIO 015,0,-56.13,54.12,1.21,-55.98,54.17,1.36,,,,,,,,
1787,Slab,6D3B76A8-9CDA-8445-81C8-16718F826565,,,,,SOLAIO 015,0,-56.04,58.26,1.01,-55.89,58.31,1.16,,,,,,,,
1788,Slab,6810826F-F0A4-BF4A-9CA5-7B4E26676A5C,,,,,SOLAIO 015,0,-56.04,58.32,1.01,-55.89,58.37,1.16,,,,,,,,
1789,Slab,DA5329F5-5548-4549-AD7A-DA17CF88492D,,,,,SOLAIO 015,0,-56.1,57.04,1.61,-55.95,57.09,1.89,,,,,,,,
1790,Slab,5ECE7642-C1B4-AC44-972E-9AF1AE035E9D,,,,,SOLAIO 015,0,-56.1,57.1,1.61,-55.95,57.15,1.76,,,,,,,,
1791,Slab,FEFFC6EE-B6D6-D34F-B371-0116248B6F98,,,,,SOLAIO 015,0,-56.1,56.44,1.61,-55.95,56.49,1.76,,,,,,,,
1792,Slab,D17507C9-A92F-D543-9064-1A6486108B64,,,,,SOLAIO 015,0,-56.1,56.5,1.61,-55.95,56.55,1.76,,,,,,,,
1793,Slab,58697E69-628D-3F4D-B21F-8453510F4869,,,,,SOLAIO 015,0,-56.1,57.9,1.21,-55.95,57.95,1.36,,,,,,,,
1794,Slab,FB86DD9C-3C7D-0845-A0ED-6031B4596C35,,,,,SOLAIO 015,0,-56.1,56.44,2.61,-55.95,56.49,2.76,,,,,,,,
1795,Slab,4EAC3CD0-6DE6-9240-B696-545A44ED787A,,,,,SOLAIO 015,0,-56.1,56.5,2.61,-55.95,56.55,2.76,,,,,,,,
1796,Slab,B48872C2-C6DF-C34A-9FE8-D735B75C037D,,,,,SOLAIO 015,0,-56.1,55.24,2.61,-55.95,55.29,2.76,,,,,,,,
1797,Slab,DD042CCC-0C6A-FF4C-85DA-111E9DBC840A,,,,,SOLAIO 015,0,-56.1,55.3,2.61,-55.95,55.35,2.76,,,,,,,,
1798,Slab,2CED726C-4EED-1E41-B946-AB2BECA39023,,,,,SOLAIO 015,0,-56.0,57.5,2.41,-55.85,57.55,2.56,,,,,,,,
1799,Slab,B281B09F-099F-C14F-BBAD-FE3436689B8C,,,,,SOLAIO 015,0,-54.34,54.11,0.61,-54.29,54.26,0.76,,,,,,,,
1800,Slab,0A7A6F7F-73D0-4C45-811F-2992D2BA1E1A,,,,,SOLAIO 015,0,-54.28,54.11,0.61,-54.23,54.26,0.85,,,,,,,,
1801,Slab,7137A743-A20D-104E-9CE1-A183305647BE,,,,,SOLAIO 015,0,-54.34,54.47,0.61,-54.29,54.62,0.76,,,,,,,,
1802,Slab,6776D6DB-95A7-304E-BEDF-4B1DE9AF8C4E,,,,,SOLAIO 015,0,-54.28,54.47,0.61,-54.23,54.62,0.76,,,,,,,,
1803,Slab,388464E4-BA6E-B547-A87C-80174B3A049C,,,,,SOLAIO 015,0,-54.74,54.21,0.21,-54.69,54.36,0.36,,,,,,,,
1804,Slab,EF459BBD-E18D-DE46-9A1D-9774357C93D0,,,,,SOLAIO 015,0,-54.68,54.21,0.21,-54.63,54.36,0.36,,,,,,,,
1805,Slab,AE17B926-56DC-3346-9BA3-6BADA3FBFCDB,,,,,SOLAIO 015,0,-52.94,54.11,0.41,-52.89,54.26,0.66,,,,,,,,
1806,Slab,BA8D3CD8-C31D-4444-85ED-1EDA6937E90E,,,,,SOLAIO 015,0,-52.88,54.11,0.41,-52.83,54.26,0.56,,,,,,,,
1807,Slab,6F0251FD-7D7B-704E-99F5-A68138B3F18F,,,,,SOLAIO 015,0,-54.35,55.47,0.41,-54.3,55.62,0.56,,,,,,,,
1808,Slab,FF3F2BB7-3914-3743-B896-8BC6AE818922,,,,,SOLAIO 015,0,-54.29,55.47,0.41,-54.24,55.62,0.56,,,,,,,,
1809,Slab,4578E393-77CF-9244-84F9-6D570FDD3DA4,,,,,SOLAIO 015,0,-54.68,55.47,0.61,-54.63,55.62,0.76,,,,,,,,
1810,Slab,FEF59840-2AC2-A64C-919E-917552B9F365,,,,,SOLAIO 015,0,-52.34,55.47,0.41,-52.29,55.62,0.56,,,,,,,,
1811,Slab,D042363E-4235-484B-9CD2-97867A55D1A3,,,,,SOLAIO 015,0,-52.28,55.47,0.41,-52.23,55.62,0.56,,,,,,,,
1812,Slab,74091E8B-987A-AE4F-9662-D76BB8E42A63,,,,,SOLAIO 015,0,-53.47,55.57,1.21,-53.42,55.72,1.36,,,,,,,,
1813,Slab,A98F2F23-49F3-804F-97CE-78FEA4C90118,,,,,SOLAIO 015,0,-53.41,55.57,1.21,-53.36,55.72,1.36,,,,,,,,
1814,Slab,F3F9B038-9482-A043-BE26-F4DB46B40FE3,,,,,SOLAIO 015,0,-53.59,55.57,1.21,-53.54,55.72,1.36,,,,,,,,
1815,Slab,B3BA35FF-456E-A04D-9849-21E085A20381,,,,,SOLAIO 015,0,-52.14,56.93,0.41,-52.09,57.08,0.69,,,,,,,,
1816,Slab,553AA9FD-69CD-CF46-A26C-103384B8B150,,,,,SOLAIO 015,0,-52.08,56.93,0.41,-52.03,57.08,0.56,,,,,,,,
1817,Slab,1E97EB98-0435-1642-8284-5DA3FC6B63EF,,,,,SOLAIO 015,0,-52.54,56.83,0.61,-52.49,56.98,0.76,,,,,,,,
1818,Slab,253FBB48-E197-EB48-8074-1B91EF9E55C6,,,,,SOLAIO 015,0,-52.48,56.83,0.61,-52.43,56.98,0.76,,,,,,,,
1819,Slab,6BDDACF9-16A7-4C4B-AE97-D37F8A161ACC,,,,,SOLAIO 015,0,-53.74,56.83,0.81,-53.69,56.98,0.96,,,,,,,,
1820,Slab,41723CFC-4FE3-F442-B89A-53F5AC8B8A2A,,,,,SOLAIO 015,0,-54.74,56.83,0.61,-54.69,56.98,0.76,,,,,,,,
1821,Slab,9B729763-2382-884A-98FC-1B29D892E9EB,,,,,SOLAIO 015,0,-54.68,56.83,0.61,-54.63,56.98,0.76,,,,,,,,
1822,Slab,DBE33AF8-3C68-9744-9F9C-0ABC5A12729E,,,,,SOLAIO 015,0,-52.74,54.47,0.81,-52.69,54.62,0.96,,,,,,,,
1823,Slab,C2F97A0C-4EE5-D44E-AC74-E57FE4A7248C,,,,,SOLAIO 015,0,-52.68,54.47,0.81,-52.63,54.62,0.96,,,,,,,,
1824,Slab,4EB1401A-EE84-ED4C-B526-DC2DBFCDD26D,,,,,SOLAIO 015,0,-53.94,54.37,1.21,-53.89,54.52,1.36,,,,,,,,
1825,Slab,867F8F40-010D-C54C-91BC-6B02BD6507E1,,,,,SOLAIO 015,0,-53.88,54.37,1.21,-53.83,54.52,1.36,,,,,,,,
1826,Slab,93562F26-FE50-0B4F-A0A2-8FEDD5122073,,,,,SOLAIO 015,0,-52.34,55.73,0.81,-52.29,55.88,0.96,,,,,,,,
1827,Slab,9A0A220F-B9BF-0D4B-887F-3ECBFBBE84DA,,,,,SOLAIO 015,0,-52.28,55.73,0.81,-52.23,55.88,0.96,,,,,,,,
1828,Slab,F9543F4B-6FDD-E84C-8D2D-DCDD046D6B6F,,,,,SOLAIO 015,0,-53.14,55.83,0.61,-53.09,55.98,0.76,,,,,,,,
1829,Slab,E22308F5-791D-D747-AA6F-2660BC40BB26,,,,,SOLAIO 015,0,-53.08,55.83,0.61,-53.03,55.98,0.76,,,,,,,,
1830,Slab,3F0B4A21-12E5-AB42-9C59-DA109D2A6443,,,,,SOLAIO 015,0,-52.94,55.83,0.41,-52.89,55.98,0.56,,,,,,,,
1831,Slab,8B7EC9AE-656D-164E-9733-5DF2C86BBB84,,,,,SOLAIO 015,0,-52.88,55.83,0.41,-52.83,55.98,0.56,,,,,,,,
1832,Slab,21AB486F-A121-5D48-A7A8-C6DF4E8ECDB5,,,,,SOLAIO 015,0,-52.34,57.19,0.81,-52.29,57.34,0.96,,,,,,,,
1833,Slab,567758B1-678F-4E42-8572-771E86E5332C,,,,,SOLAIO 015,0,-52.28,57.19,0.81,-52.23,57.34,0.96,,,,,,,,
1834,Slab,4D8CCA4F-E469-DD44-9242-1CDCFBB24E51,,,,,SOLAIO 015,0,-53.14,57.19,0.41,-53.09,57.34,0.56,,,,,,,,
1835,Slab,15951A54-E8E9-DA44-BB55-4122DB14800D,,,,,SOLAIO 015,0,-53.08,57.19,0.41,-53.03,57.34,0.56,,,,,,,,
1836,Slab,7BEA8DAD-A272-EF40-A8A5-CB3B20249709,,,,,SOLAIO 015,0,-54.24,57.21,1.01,-54.09,57.26,1.16,,,,,,,,
1837,Slab,87E1E40F-2BAF-204C-83E0-A007BFC4D33D,,,,,SOLAIO 015,0,-54.28,57.19,0.61,-54.23,57.34,0.76,,,,,,,,
1838,Slab,A76102A0-3DF3-E640-B7C3-EA22CC96F18C,,,,,SOLAIO 015,0,-54.24,57.14,1.01,-54.09,57.19,1.16,,,,,,,,
