node_id,element_type,guid,length,width,height,info_string,label_type,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,embedded_door_guid,zone_stamp_guid,pos_x,pos_y,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid,label_guid
1435,Slab,D50E758A-560B-4BFB-8031-AC975B3C6D8A,,,,VRF,0,3.78,-32.95,58.4,4.74,-31.99,60.0,,,,,,,,,,
1436,Slab,423B041D-309E-46C4-996B-CBDD608815FB,,,,VRF,0,3.57,-32.03,58.4,4.53,-31.07,60.0,,,,,,,,,,
1437,Slab,A367FEC9-D778-4732-AA90-A2E12AD3DE7D,,,,VRF,0,3.37,-31.11,58.4,4.32,-30.15,60.0,,,,,,,,,,
1438,Slab,1B69AEEC-F8D0-4006-911C-55E2293BBBDC,,,,VRF,0,3.46,-37.86,58.4,4.42,-36.9,60.0,,,,,,,,,,
1439,Slab,19E693DA-F860-4A6B-BAD2-58A5C19C314B,,,,VRF,0,3.25,-36.94,58.4,4.21,-35.98,60.0,,,,,,,,,,
1440,Slab,BDA58D34-41CA-40D5-9424-F9CBA5243E20,,,,VRF,0,3.04,-36.02,58.4,4.0,-35.06,60.0,,,,,,,,,,
1441,Slab,1B90827A-4672-4678-B5B3-E1105A08B6B0,,,,VRF,0,2.83,-35.1,58.4,3.79,-34.14,60.0,,,,,,,,,,
1442,Slab,8B9BF2AB-159A-4ACC-8C55-AB3BFEC6FA3C,,,,VRF,0,2.63,-34.18,58.4,3.58,-33.22,60.0,,,,,,,,,,
1443,Slab,52F156D1-ED6C-4477-AAAB-EDF4F78398C3,,,,VRF,0,2.42,-33.26,58.4,3.37,-32.3,60.0,,,,,,,,,,
1444,Slab,E4805F1C-03C8-4A97-B45B-37AE760161E7,,,,VRF,0,2.0,-31.42,58.4,2.96,-30.46,60.0,,,,,,,,,,
1445,Slab,99538DC6-2919-4152-AB61-A1F7F95860E8,,,,VRF,0,2.09,-38.17,58.4,3.05,-37.21,60.0,,,,,,,,,,
1446,Slab,38E07299-6056-4F49-9902-EDEBF23EABC1,,,,VRF,0,1.89,-37.25,58.4,2.84,-36.29,60.0,,,,,,,,,,
1447,Slab,8876F508-83D3-4B20-863E-16C25E3CC4CD,,,,VRF,0,1.68,-36.33,58.4,2.63,-35.37,60.0,,,,,,,,,,
1448,Slab,9CADA527-04A2-467C-A62B-D5579F8656FB,,,,VRF,0,1.47,-35.41,58.4,2.43,-34.45,60.0,,,,,,,,,,
1449,Slab,90E4546A-6637-4571-8EA2-CA8C4FC38911,,,,VRF,0,1.26,-34.49,58.4,2.22,-33.53,60.0,,,,,,,,,,
1450,Slab,0F945628-E797-49E2-BA09-1D543C969841,,,,VRF,0,1.05,-33.57,58.4,2.01,-32.61,60.0,,,,,,,,,,
1451,Slab,1EE8B6EE-BCD3-47C5-A9B1-0B50E0309A21,,,,VRF,0,0.63,-31.73,58.4,1.59,-30.77,60.0,,,,,,,,,,
1452,Slab,7DB08E3C-6AB1-4A60-A7C7-119E801B06F5,,,,VRF,0,0.73,-38.48,58.4,1.69,-37.52,60.0,,,,,,,,,,
1453,Slab,8D258E50-AD7A-4E2C-8B5C-3F456B301352,,,,VRF,0,0.52,-37.56,58.4,1.48,-36.6,60.0,,,,,,,,,,
1454,Slab,EE594EAB-A786-4AB1-A7F4-388BCEC7703B,,,,VRF,0,0.31,-36.64,58.4,1.27,-35.68,60.0,,,,,,,,,,
