node_id,element_type,guid,associated_element_guid,text,length,pos_x,pos_y,info_string,bb_xmin,bb_ymin,bb_zmin,bb_xmax,bb_ymax,bb_zmax,width,height,embedded_door_guid,label_type,zone_stamp_guid,room_name,room_number,room_height,marker_guid,embedded_in_wall_guid
2503,DimText 527,DC6117E8-75D0-5B47-9984-822999DFF53A,,0,,-56.4,48.44,Dim Text 527,-56.4,48.44,0.0,-55.9,48.94,0.0,,,,,,,,,,
2504,DimText 528,DC6117E8-75D0-5B47-9984-822999DFF53A,,44,,-56.4,48.63,Dim Text 528,-56.4,48.63,0.0,-55.9,49.13,0.0,,,,,,,,,,
2505,DimText 529,DC6117E8-75D0-5B47-9984-822999DFF53A,,137,,-56.4,49.51,Dim Text 529,-56.4,49.51,0.0,-55.9,50.01,0.0,,,,,,,,,,
2506,DimText 530,DC6117E8-75D0-5B47-9984-822999DFF53A,,51,,-56.4,50.48,Dim Text 530,-56.4,50.48,0.0,-55.9,50.98,0.0,,,,,,,,,,
2507,DimText 531,DA75AC62-85ED-EF4D-9D59-FA446F13C9B4,,0,,-52.1,53.78,Dim Text 531,-52.1,53.78,0.0,-51.6,54.28,0.0,,,,,,,,,,
2508,DimText 532,DA75AC62-85ED-EF4D-9D59-FA446F13C9B4,,90,,-51.68,53.78,Dim Text 532,-51.68,53.78,0.0,-51.18,54.28,0.0,,,,,,,,,,
2509,DimText 533,08C8A487-10F5-DD46-8912-E8EE6B1A5665,,0,,-53.65,48.49,Dim Text 533,-53.65,48.49,0.0,-53.15,48.99,0.0,,,,,,,,,,
2510,DimText 534,08C8A487-10F5-DD46-8912-E8EE6B1A5665,,160,,-52.9,48.49,Dim Text 534,-52.9,48.49,0.0,-52.4,48.99,0.0,,,,,,,,,,
2511,DimText 535,08C8A487-10F5-DD46-8912-E8EE6B1A5665,,340,,-50.42,48.49,Dim Text 535,-50.42,48.49,0.0,-49.92,48.99,0.0,,,,,,,,,,
2512,DimText 536,31F53E9F-219A-2640-BD6C-93E42C1C707C,,0,,-47.69,49.95,Dim Text 536,-47.69,49.95,0.0,-47.19,50.45,0.0,,,,,,,,,,
2513,DimText 537,31F53E9F-219A-2640-BD6C-93E42C1C707C,,60,,-47.69,50.22,Dim Text 537,-47.69,50.22,0.0,-47.19,50.72,0.0,,,,,,,,,,
2514,DimText 538,73F6A491-3185-DC4F-8AB3-11841BF2DFCD,,0,,-50.48,51.46,Dim Text 538,-50.48,51.46,0.0,-49.98,51.96,0.0,,,,,,,,,,
2515,DimText 539,73F6A491-3185-DC4F-8AB3-11841BF2DFCD,,163,,-49.72,51.46,Dim Text 539,-49.72,51.46,0.0,-49.22,51.96,0.0,,,,,,,,,,
2516,DimText 540,AED64328-EB33-6542-BB54-F4D912B49575,,0,,-53.24,51.1,Dim Text 540,-53.24,51.1,0.0,-52.74,51.6,0.0,,,,,,,,,,
2517,DimText 541,AED64328-EB33-6542-BB54-F4D912B49575,,33,,-53.11,51.1,Dim Text 541,-53.11,51.1,0.0,-52.61,51.6,0.0,,,,,,,,,,
2518,DimText 542,CFF662A4-ECDA-0C44-90DE-A8595830BC10,,0,,-48.85,52.66,Dim Text 542,-48.85,52.66,0.0,-48.35,53.16,0.0,,,,,,,,,,
2519,DimText 543,CFF662A4-ECDA-0C44-90DE-A8595830BC10,,41,,-48.85,52.84,Dim Text 543,-48.85,52.84,0.0,-48.35,53.34,0.0,,,,,,,,,,
2520,DimText 544,AB8FB832-BBB0-5B4B-9FA9-7632C713F987,,0,,-50.39,52.36,Dim Text 544,-50.39,52.36,0.0,-49.89,52.86,0.0,,,,,,,,,,
2521,DimText 545,AB8FB832-BBB0-5B4B-9FA9-7632C713F987,,30,,-50.39,52.47,Dim Text 545,-50.39,52.47,0.0,-49.89,52.97,0.0,,,,,,,,,,
2522,DimText 546,40F21954-50F2-3044-AFA8-60F85B6925AF,,0,,-51.33,52.66,Dim Text 546,-51.33,52.66,0.0,-50.83,53.16,0.0,,,,,,,,,,
2523,DimText 547,40F21954-50F2-3044-AFA8-60F85B6925AF,,116,,-51.33,53.15,Dim Text 547,-51.33,53.15,0.0,-50.83,53.65,0.0,,,,,,,,,,
2524,DimText 548,40F21954-50F2-3044-AFA8-60F85B6925AF,,4,,-51.33,53.76,Dim Text 548,-51.33,53.76,0.0,-50.83,54.26,0.0,,,,,,,,,,
2525,DimText 549,40F21954-50F2-3044-AFA8-60F85B6925AF,,191,,-51.33,54.76,Dim Text 549,-51.33,54.76,0.0,-50.83,55.26,0.0,,,,,,,,,,
2526,DimText 550,AC6F6F53-CBB4-4541-91A3-A6A2A9795D48,,0,,-51.22,53.62,Dim Text 550,-51.22,53.62,0.0,-50.72,54.12,0.0,,,,,,,,,,
2527,DimText 551,AC6F6F53-CBB4-4541-91A3-A6A2A9795D48,,82,,-50.85,53.62,Dim Text 551,-50.85,53.62,0.0,-50.35,54.12,0.0,,,,,,,,,,
2528,DimText 552,AC6F6F53-CBB4-4541-91A3-A6A2A9795D48,,110,,-49.91,53.62,Dim Text 552,-49.91,53.62,0.0,-49.41,54.12,0.0,,,,,,,,,,
2529,DimText 553,FEBE061A-504A-4744-85E5-692DE4E8EAAF,,0,,-51.22,55.62,Dim Text 553,-51.22,55.62,0.0,-50.72,56.12,0.0,,,,,,,,,,
2530,DimText 554,FEBE061A-504A-4744-85E5-692DE4E8EAAF,,78,,-50.87,55.62,Dim Text 554,-50.87,55.62,0.0,-50.37,56.12,0.0,,,,,,,,,,
2531,DimText 555,A501D50B-3469-2240-9B04-225043947063,,0,,-51.18,53.35,Dim Text 555,-51.18,53.35,0.0,-50.68,53.85,0.0,,,,,,,,,,
2532,DimText 556,A501D50B-3469-2240-9B04-225043947063,,69,,-50.87,53.35,Dim Text 556,-50.87,53.35,0.0,-50.37,53.85,0.0,,,,,,,,,,
2533,DimText 557,A501D50B-3469-2240-9B04-225043947063,,101,,-50.1,53.35,Dim Text 557,-50.1,53.35,0.0,-49.6,53.85,0.0,,,,,,,,,,
2534,DimText 558,A501D50B-3469-2240-9B04-225043947063,,17,,-49.59,53.35,Dim Text 558,-49.59,53.35,0.0,-49.09,53.85,0.0,,,,,,,,,,
2535,DimText 559,A501D50B-3469-2240-9B04-225043947063,,4,,-49.2,53.35,Dim Text 559,-49.2,53.35,0.0,-48.7,53.85,0.0,,,,,,,,,,
2536,DimText 560,A501D50B-3469-2240-9B04-225043947063,,116,,-48.76,53.35,Dim Text 560,-48.76,53.35,0.0,-48.26,53.85,0.0,,,,,,,,,,
2537,DimText 561,A501D50B-3469-2240-9B04-225043947063,,10,,-48.22,53.35,Dim Text 561,-48.22,53.35,0.0,-47.72,53.85,0.0,,,,,,,,,,
2538,DimText 562,BD2B879B-E162-8842-9DF6-40525A02B0E4,,0,,-49.36,53.17,Dim Text 562,-49.36,53.17,0.0,-48.86,53.67,0.0,,,,,,,,,,
2539,DimText 563,BD2B879B-E162-8842-9DF6-40525A02B0E4,,110,,-49.36,53.63,Dim Text 563,-49.36,53.63,0.0,-48.86,54.13,0.0,,,,,,,,,,
2540,DimText 564,BD2B879B-E162-8842-9DF6-40525A02B0E4,,4,,-49.36,54.21,Dim Text 564,-49.36,54.21,0.0,-48.86,54.71,0.0,,,,,,,,,,
2541,DimText 565,BD2B879B-E162-8842-9DF6-40525A02B0E4,,0,,-49.36,54.31,Dim Text 565,-49.36,54.31,0.0,-48.86,54.81,0.0,,,,,,,,,,
