Element Type: DimNode 0, GUID: 6B384789-FF24-464E-8578-5838C1C2E80F, Associated Element GUID: 00000000-0000-0000-0000-000000000000, Text: 0.000, Length: 0.00, DimNode 0 Bounding Box: [(102.21, 10.61, 0.00), (102.22, 10.62, 0.00)], Position: (102.21, 10.62), Info String: Dim Node 0
Element Type: Wall, GUID: D1C356A8-8BA2-49C3-9146-ACA3E057F59F, Length: 3.31, Width: 0.23, Height: 2.21, Info String: Basic Wall:Generic -230mm:314232, Wall Bounding Box: [(98.88, -3.65, -1.87), (102.19, -3.42, 0.34)], Label Type: 0
Element Type: Wall, GUID: 96C942C4-2386-491A-87E4-6519313A84E0, Length: 2.02, Width: 0.11, Height: 2.21, Info String: Basic Wall:Generic -110mm:314233, Wall Bounding Box: [(103.49, 0.45, -1.87), (105.50, 0.56, 0.34)], Label Type: 0
Element Type: Wall, GUID: 09BABCB8-4436-4C1D-9E42-8456D507429E, Length: 5.85, Width: 0.23, Height: 3.20, Info String: Basic Wall:230mm:425109, Wall Bounding Box: [(76.15, -44.20, -4.07), (80.15, -39.62, -0.87)], Label Type: 0
Element Type: Wall, GUID: 99C21D1C-B0AD-4D90-A701-DE4E6C8451D0, Length: 5.11, Width: 0.23, Height: 2.90, Info String: Basic Wall:230mm:425113, Wall Bounding Box: [(79.98, -48.08, -4.87), (83.48, -44.05, -1.97)], Label Type: 0
Element Type: Wall, GUID: 0B46A249-8F7E-4588-B6FF-7DAC584BD870, Length: 10.14, Width: 0.23, Height: 4.10, Info String: Basic Wall:230mm:425117, Wall Bounding Box: [(83.31, -55.79, -6.87), (90.08, -47.93, -2.77)], Label Type: 0
Element Type: Wall, GUID: 02DED196-3923-42E9-8928-FD2E07C4BC54, Length: 0.55, Width: 0.23, Height: 4.10, Info String: Basic Wall:230mm:425129, Wall Bounding Box: [(90.02, -56.34, -6.87), (90.58, -55.79, -2.77)], Label Type: 0
Element Type: Wall, GUID: 06E9275C-4C90-4C15-8E6E-BF061A1402F0, Length: 0.47, Width: 0.23, Height: 4.10, Info String: Basic Wall:230mm:425133, Wall Bounding Box: [(89.69, -56.33, -6.87), (90.18, -55.83, -2.77)], Label Type: 0
Element Type: Wall, GUID: 023E69C6-8ACD-4AF4-9423-ED0D15248C95, Length: 0.55, Width: 0.23, Height: 4.10, Info String: Basic Wall:230mm:425137, Wall Bounding Box: [(89.70, -55.99, -6.87), (90.26, -55.45, -2.77)], Label Type: 0
Element Type: Wall, GUID: F73FA29F-666F-4898-9538-E4AA9A9E2DFF, Length: 0.47, Width: 0.23, Height: 4.10, Info String: Basic Wall:230mm:425141, Wall Bounding Box: [(90.09, -55.95, -6.87), (90.58, -55.45, -2.77)], Label Type: 0
Element Type: Wall, GUID: 34E2AD07-371E-47D8-8F67-6512F6103DB3, Length: 8.21, Width: 0.23, Height: 7.50, Info String: Basic Wall:230mm:425396, Wall Bounding Box: [(96.27, -49.85, -11.87), (102.63, -44.31, -4.37)], Label Type: 0
Element Type: Wall, GUID: 6FC2A26E-7A7C-4DBE-9B65-7C61FA7C08AF, Length: 5.23, Width: 0.23, Height: 7.50, Info String: Basic Wall:230mm:425400, Wall Bounding Box: [(102.53, -44.51, -11.87), (107.68, -43.11, -4.37)], Label Type: 0
Element Type: Wall, GUID: 2D6788AE-AF92-4EA5-9B35-71E0756A822F, Length: 2.32, Width: 0.23, Height: 7.50, Info String: Basic Wall:230mm:425404, Wall Bounding Box: [(107.00, -43.24, -11.87), (107.77, -40.94, -4.37)], Label Type: 0
Element Type: Wall, GUID: D5D79431-AECC-4F23-9E2E-AD5BB026E44B, Length: 3.55, Width: 0.23, Height: 7.50, Info String: Basic Wall:230mm:425408, Wall Bounding Box: [(103.60, -42.36, -11.87), (107.10, -41.24, -4.37)], Label Type: 0
Element Type: Wall, GUID: BC30E725-5F66-4041-A1BD-AE2BC1896D41, Length: 1.02, Width: 0.23, Height: 7.50, Info String: Basic Wall:230mm:425412, Wall Bounding Box: [(103.34, -42.27, -11.87), (103.74, -41.22, -4.37)], Label Type: 0
